Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_slot_fal_bttstck,FAL buttstock,FAL buttstock,Pažba FAL,FAL-Schaft,Приклад FAL,Kolba FAL,FAL fenék,Calcio FAL,Culata FAL,crosse FAL,FAL枪托,FAL バットストック,Coronha FAL,FAL枪托,
STR_kr_slot_fal_hndgrd,FAL handguard,FAL handguard,Předpažbí FAL,FAL-Handschutz,Цевье FAL,Osłona dłoni FAL,FAL kézvédő,Paramano FAL,Guardamanos FAL,Garde-main FAL,FAL护木,FALハンドガード,Protetor de mão FAL,FAL护木,
STR_kr_slot_ar15_hndgrd,AR15 handguard,AR15 handguard,Předpažbí AR15,AR15 Handschutz,Цевье AR15,Osłona dłoni AR15,AR15 kézvédő,Paramano AR15,Guardamanos AR15,garde-main AR15,AR15护手,AR15ハンドガード,Protetor de mão AR15,AR15护手,
STR_kr_slot_foregrip,Tactical grip,Tactical grip,Taktická rukojeť,Taktischer Griff,Тактическая рукоять,Chwyt taktyczny,Taktikai fogás,impugnatura tattica,Agarre táctico,Poignée tactique,战术握把,タクティカルグリップ,Empunhadura tática,战术握把,
STR_kr_slot_fal_receiver,FAL receiver,FAL receiver,přijímač FAL,FAL-Empfänger,Крышка FAL,Odbiornik FAL,FAL vevő,Ricevitore FAL,Receptor FAL,Récepteur FAL,FAL接收器,FAL受信機,Receptor FAL,FAL接收器,
STR_kr_slot_ak_buttpad,AK buttpad,AK buttpad,Zadek AK,AK-Schaftpolster,Тыльник приклада,Kolba AK,AK popsipad,Calciolo AK,Cantonera AK,plaque de couche AK,AK枪托底板,AKバットパッド,AK buttpad,AK枪托底板,
STR_kr_slot_kr_ak_handle,AK bolt handle,AK bolt handle,Rukojeť šroubu AK,AK-Kammergriff,Ручка затвора,Uchwyt zamka AK,AK csavaros fogantyú,Maniglia dell'otturatore AK,Mango del cerrojo AK,Poignée de culasse AK,AK枪栓手柄,AKボルトハンドル,Alça de ferrolho AK,AK枪栓手柄,
STR_kr_slot_nato_optics,Picatinny rail optic,Picatinny rail optic,Picatinny kolejnicová optika,Picatinny-Schienenoptik,Планка Пикаттини,Szyna Picatinny optyka,Picatinny sínes optika,Ottica per guida Picatinny,Óptica de riel Picatinny,Rail optique Picatinny,皮卡汀尼导轨瞄准镜,ピカティニーレール光学機器,Óptica de trilho Picatinny,皮卡汀尼导轨瞄准镜,
STR_kr_slot_weaponHolo,Holo sight,Holo sight,Holo pohled,Holo-Visier,Колиматорный прицел,Celownik holograficzny,Holo látvány,Mirino olografico,Mira holográfica,Viseur holographique,全息瞄准镜,ホロサイト,Visão holográfica,全息瞄准镜,
STR_kr_slot_ak_optics,Dovetail optic,Dovetail optic,Rybinová optika,Schwalbenschwanzoptik,Ласточкин хвост,Optyka typu jaskółczy ogon,Fecskefarkú optika,Ottica a coda di rondine,Óptica de cola de milano,optique à queue d'aronde,燕尾光学元件,ダブテール光学系,Óptica de cauda de andorinha,燕尾光学元件,
STR_kr_slot_pt_lock,PT-lock,PT-lock,PT-zámek,PT-Schloss,Замок ПТ,Śluza PT,PT-zár,Blocco PT,Bloqueo PT,Verrouillage PT,PT锁,PTロック,PT-lock,PT锁,
STR_kr_slot_rail_mount,Mount,Mount,Mount,Montieren,Планка,Uchwyt,Hegy,Montare,Montar,Monter,山,マウント,Monte,山,
STR_kr_slot_mosin_buttpad,Mosin Rifle Buttpad,Mosin Rifle Buttpad,Button Mosin pro pušku,Mosin Gewehr-Schaftpolster,Тыльник,Kolba karabinu Mosin,Mosin puska fenékpad,Calciolo per fucile Mosin,Cantonera de rifle Mosin,Plaque de couche pour fusil Mosin,莫辛步枪枪托垫,モシンライフルのバットパッド,Almofada de coronha para rifle Mosin,莫辛步枪枪托垫,
STR_kr_slot_mosin_mount,Mosin Rifle Mount,Mosin Rifle Mount,Držák na pušku Mosin,Mosin-Gewehrhalterung,Планка,Uchwyt do karabinu Mosina,Mosin puskatartó,Supporto per fucile Mosin,Montura de rifle Mosin,Support de fusil Mosin,莫辛步枪支架,モシンライフルマウント,Montagem de rifle Mosin,莫辛步枪支架,
STR_kr_slot_weaponOpticsMosin,Kochetov Mount,Kochetov Mount,Kočetovská hora,Kochetov-Berg,Крепление Кочетова,Góra Kochetova,Kochetov-hegy,Monte Kochetov,Monte Kochetov,Mont Kochetov,科切托夫山,コチェトフ山,Monte Kochetov,科切托夫山,
STR_kr_slot_svd_hndgrd,SVD handguard,SVD handguard,SVD předpažbí,SVD-Handschutz,Цевье СВД,Osłona dłoni SVD,SVD kézvédő,Paramano SVD,Guardamanos SVD,garde-main SVD,SVD护手,SVDハンドガード,Protetor de mão SVD,SVD护手,
STR_kr_slot_kr_svd_stock,SVD stock,SVD stock,skladem SVD,SVD-Aktie,Приклад СВД,Akcja SVD,SVD készlet,Azione SVD,Acciones de SVD,Stock SVD,SVD股票,SVD株,Estoque SVD,SVD股票,
STR_kr_slot_kr_mp5_mount,MP5 Mount,MP5 Mount,Držák MP5,MP5-Halterung,Планка MP5,Mocowanie MP5,MP5 tartó,Supporto MP5,Montura MP5,Support MP5,MP5支架,MP5マウント,Suporte MP5,MP5支架,
STR_kr_slot_kr_mp5_hndgrd,MP5 handguard,MP5 handguard,Předpažbí MP5,MP5 Handschutz,Цевье MP5,Osłona dłoni MP5,MP5 kézvédő,Paramano MP5,Guardamanos MP5,garde-main MP5,MP5护木,MP5ハンドガード,Protetor de mão MP5,MP5护木,
STR_kr_slot_kr_mp5_stock,MP5 stock,MP5 stock,Sklad MP5,MP5-Bestand,Приклад MP5,Kolba MP5,MP5 készlet,Calcio MP5,Culata MP5,MP5 stock,MP5枪托,MP5ストック,Estoque MP5,MP5枪托,
STR_kr_slot_saiga_hndgrd,Saiga handguard,Saiga handguard,Předpažbí Saiga,Saiga-Handschutz,Цевье Сайга,Osłona dłoni Saiga,Saiga kézvédő,Paramano Saiga,Guardamanos Saiga,Garde-main Saiga,Saiga 护手,サイガハンドガード,Protetor de mão Saiga,Saiga 护手,
STR_kr_slot_spas12_stock,SPAS12 stock,SPAS12 stock,Skladem SPAS12,SPAS12-Aktie,Приклад SPAS12,Akcja SPAS12,SPAS12 készlet,Azione SPAS12,Culata SPAS12,Action SPAS12,SPAS12股票,SPAS12株,Estoque SPAS12,SPAS12股票,
STR_kr_slot_g28_hndgrd,HK417/G28 handguard,HK417/G28 handguard,Předpažbí HK417/G28,HK417/G28 Handschutz,Цевье HK417/G28,Osłona dłoni HK417/G28,HK417/G28 kézvédő,Paramano HK417/G28,Guardamanos HK417/G28,Garde-main HK417/G28,HK417/G28护木,HK417/G28ハンドガード,Protetor de mão HK417/G28,HK417/G28护木,
STR_kr_slot_m200_hndgrd,M200 handguard,M200 handguard,Předpažbí M200,M200 Handschutz,M200 Цевье,Osłona dłoni M200,M200 kézvédő,Paramano M200,Guardamanos M200,garde-main M200,M200护手,M200ハンドガード,Protetor de mão M200,M200护手,
STR_kr_slot_kr_m200_stock,M200 stock,M200 stock,Zásoba M200,M200-Bestand,M200 Приклад,Kolba M200,M200 készlet,Calcio M200,Culata M200,crosse M200,M200库存,M200ストック,Estoque M200,M200库存,
STR_kr_slot_kr_scar_stock,SCAR stock,SCAR stock,Zásoba SCAR,SCAR-Aktie,Приклад SCAR,Zapasy SCAR,SCAR részvény,Azioni SCAR,Acciones de SCAR,Action SCAR,SCAR股票,SCAR株,Ações da SCAR,SCAR股票,
STR_kr_slot_mount,Mount,Mount,Mount,Montieren,Крепление,Uchwyt,Hegy,Montare,Montar,Monter,山,マウント,Monte,山,
STR_kr_slot_stock,Stovk,Stovk,Stovk,Stovk,Приклад,Stovk,Stovk,Stovk,Stovk,Stovk,斯托夫克,ストフク,Stovk,斯托夫克,
STR_kr_slot_handguard,Handguard,Handguard,Předpažbí,Handschutz,Цевье,Osłona dłoni,Sátorvas,Paramano,Guardamanos,Garde-main,护手,ハンドガード,Protetor de mão,护手,
STR_kr_slot_muzzle,Muzzle,Muzzle,Čenich,Schnauze,ДТК/Глушитель,Pysk,Szájkosár,Museruola,Bozal,Museau,枪口,銃口,Focinho,枪口,
STR_kr_action_warp,Warp around,Warp around,Warp kolem,Warp um,Обмотать,Osnowa wokół,Körbefordulni,Deformarsi intorno,Deformarse,Déformer autour,扭曲,ワープアラウンド,Deformar ao redor,扭曲,
STR_kr_action_screw,Screw,Screw,Šroub,Schrauben,Прикрутить,Śruba,Csavar,Vite,Tornillo,Vis,拧紧,スクリュー,Parafuso,拧紧,
STR_kr_action_changebarrel,Сhange barrel,Сhange barrel,Vyměňte hlaveň,Wechsellauf,Сменить ствол,Zmiana lufy,Cserélje ki a hordót,Cambiare barile,Cambiar barril,Changer le barillet,更换桶,バレルの変更,Trocar barril,更换桶,
STR_kr_action_connect_lock,Connect PT-lock,Connect PT-lock,Připojte PT zámek,PT-Schloss anschließen,Присоединить замок,Podłącz PT-lock,Csatlakoztassa a PT-zárat,Connetti PT-lock,Conectar PT-lock,Connectez le PT-lock,连接PT锁,PTロックを接続する,Conecte o PT-lock,连接PT锁,
STR_kr_action_disconnect_lock,Disconnect PT-lock,Disconnect PT-lock,Odpojte zámek PT,PT-Sperre trennen,Отсоединить замок,Odłącz blokadę PT,Válassza le a PT-zárat,Disconnetti PT-lock,Desconectar el bloqueo PT,Déconnecter le PT-lock,断开 PT 锁,PTロックを解除する,Desconecte o bloqueio PT,断开 PT 锁,
STR_kr_connect_mount,Connect mount,Connect mount,Připojte držák,Montierung verbinden,Прикрутить планку,Podłącz mocowanie,Csatlakoztassa a tartót,Collegare il supporto,Conectar el soporte,Connecter le support,连接安装座,マウントを接続する,Conecte o suporte,连接安装座,
STR_kr_disconnect_mount,Disconnect mount,Disconnect mount,Odpojte držák,Halterung trennen,Открутить планку,Odłącz mocowanie,Csatlakoztassa le a tartót,Scollegare il supporto,Desconectar el soporte,Déconnecter le support,断开安装,マウントを切断する,Desconecte o suporte,断开安装,
STR_kr_GUI_Tier,Tier,Tier,Tier,Stufe,Тип,Szczebel,Tier,Livello,Nivel,Étage,层级,ティア,Nível,层级,
STR_kr_GUI_Caliber,Caliber,Caliber,Ráže,Kaliber,Калибр,Kaliber,Kaliber,Calibro,Calibre,Calibre,口径,口径,Calibre,口径,
STR_kr_GUI_RPM,RPM,RPM,RPM,Drehzahl,Скорострельность,Obroty na minutę,FORDULAT,giri al minuto,RPM,tr/min,转速,回転数,RPM,转速,
STR_kr_GUI_Muzzle_Energy,Muzzle Energy,Muzzle Energy,Energie tlamy,Mündungsenergie,Дульная энергия,Energia wylotowa,Pofa energia,Energia della volata,Energía del hocico,Énergie initiale,枪口能量,銃口エネルギー,Energia do focinho,枪口能量,
STR_kr_GUI_Horizontal_Recoil,Horizontal Recoil,Horizontal Recoil,Horizontální zpětný ráz,Horizontaler Rückstoß,Горизонтальная отдача,Odrzut poziomy,Vízszintes visszarúgás,Rinculo orizzontale,Retroceso horizontal,recul horizontal,水平后坐力,水平反動,Recuo horizontal,水平后坐力,
STR_kr_GUI_Vertical_Recoil,Vertical Recoil,Vertical Recoil,Vertikální zpětný ráz,Vertikaler Rückstoß,Вертикальная отдача,Odrzut pionowy,Függőleges visszarúgás,Rinculo verticale,Retroceso vertical,recul vertical,垂直后坐力,垂直反動,Recuo vertical,垂直后坐力,
STR_kr_GUI_Kick,Kick,Kick,Kop,Kick,Пинок,Rzut,Rúgás,Calcio,Patada,Coup,踢,キック,Chute,踢,
STR_kr_GUI_Ergonomics,Ergonomics,Ergonomics,Ergonomie,Ergonomie,Эргономика,Ergonomia,Ergonómia,Ergonomia,Ergonomía,Ergonomie,人体工程学,人間工学,Ergonomia,人体工程学,
STR_kr_GUI_ADS,ADS,ADS,ADS,ANZEIGEN,Вход в прицел,REKLAMY,ADS,ANNUNCI,Anuncios,PUBLICITÉS,广告,広告,ANÚNCIOS,广告,
STR_kr_GUI_Durability,Barrel resource,Barrel resource,Barel zdroj,Fassressource,Ресурс ствола,Zasób beczki,Hordó erőforrás,Risorsa di barili,Recurso de barril,Ressource en barils,桶装资源,バレルリソース,Recurso de barril,桶装资源,
STR_kr_GUI_Accuracy,Accuracy,Accuracy,Přesnost,Genauigkeit,Кучность,Dokładność,Pontosság,Precisione,Exactitud,Précision,准确性,正確さ,Precisão,准确性,
STR_kr_GUI_Weapon_Type,Weapon Type,Weapon Type,Typ zbraně,Waffentyp,Подходит для:,Typ broni,Fegyver típusa,Tipo di arma,Tipo de arma,Type d'arme,武器类型,武器の種類,Tipo de arma,武器类型,
STR_kr_GUI_Additional_Mount,Additional Mount,Additional Mount,Přídavná montáž,Zusätzliche Halterung,Дополнительные планки,Dodatkowy montaż,Kiegészítő rögzítés,Supporto aggiuntivo,Montura adicional,Support supplémentaire,附加安装座,追加マウント,Montagem adicional,附加安装座,
STR_kr_GUI_Yes,Yes,Yes,Ano,Ja,Да,Tak,Igen,SÌ,Sí,Oui,是的,はい,Sim,是的,
STR_kr_GUI_No,No,No,Žádný,NEIN,Нет,NIE,Nem,NO,No,Non,不,いいえ,Não,不,
STR_kr_GUI_Suppression,Suppression,Suppression,Potlačení,Unterdrückung,Шумоподавление,Tłumienie,Elnyomás,Soppressione,Supresión,Suppression,抑制,抑制,Supressão,抑制,
STR_kr_GUI_Optimal_range,Optimal range,Optimal range,Optimální dosah,Optimale Reichweite,Оптимальная дальность,Optymalny zakres,Optimális hatótávolság,Gamma ottimale,Alcance óptimo,Portée optimale,最佳范围,最適範囲,Alcance ideal,最佳范围,
STR_kr_GUI_Armor_piercing,Armor-piercing,Armor-piercing,Průbojné brnění,Panzerbrechend,Бронепробитие,Przebijający pancerz,Páncéltörő,Perforante,Perforante de armadura,Perforant,穿甲,徹甲弾,Perfurante de armadura,穿甲,
STR_kr_GUI_Shock,Shock,Shock,Šokovat,Schock,Останавливающее действие,Zaszokować,Sokk,Shock,Choque,Choc,震惊,ショック,Choque,震惊,
STR_kr_GUI_hitpoints,Hitpoints,Hitpoints,Hitpointy,Trefferpunkte,Убойное действие,Punkty życia,Életpontok,Punti ferita,Puntos de vida,Points de vie,生命值,ヒットポイント,Pontos de vida,生命值,
STR_kr_GUI_blood,Blood,Blood,Krev,Blut,Проникающее ранение,Krew,Vér,Sangue,Sangre,Sang,血,血,Sangue,血,
STR_kr_GUI_tier_0,Trash,Trash,Odpadky,Müll,Хлам,Śmieci,Szemét,Spazzatura,Basura,Poubelle,垃圾,ごみ,Lixo,垃圾,
STR_kr_GUI_tier_1,Common,Common,Společný,Gemeinsam,Обычный,Wspólny,Közös,Comune,Común,Commun,常见的,一般,Comum,常见的,
STR_kr_GUI_tier_2,Uncommon,Uncommon,Méně časté,Ungewöhnlich,Нечастый,Niezwykły,Ritka,Non comune,Poco común,Rare,罕见,珍しい,Incomum,罕见,
STR_kr_GUI_tier_3,Rare,Rare,Vzácný,Selten,Редкий,Rzadki,Ritka,Raro,Extraño,Rare,稀有的,レア,Cru,稀有的,
STR_kr_GUI_tier_4,Very Rare,Very Rare,Velmi vzácné,Sehr selten,Очень редкий,Bardzo rzadkie,Nagyon ritka,Molto raro,Muy raro,Très rare,非常罕见,非常にまれ,Muito raro,非常罕见,
STR_kr_GUI_tier_5,Fairytale,Fairytale,Pohádkový,Märchen,Раритет,Bajka,Tündérmese,Fiaba,Cuento de hadas,Conte de fées,童话,おとぎ話,Conto de fadas,童话,
STR_kr_GUI_tier_6,Unique,Unique,Unikátní,Einzigartig,Уникальный,Unikalny,Egyedülálló,Unico,Único,Unique,独特的,個性的,Exclusivo,独特的,
STR_kr_GUI_tier_7,HOLY FUCK!,HOLY FUCK!,SAKRA!,HEILIGSCHEISSE!,HOLY FUCK!,O KURWA!,SZENT BASZK!,PORCA MISERIA!,¡SANTA MIERDA!,PUTAIN DE PUTAIN!,操他妈的！,なんてこった！,Puta merda!,操他妈的！,
STR_kr_GUI_CanAttach,Can be attached,Can be attached,Lze připevnit,Kann angebracht werden,Можно установить,Można dołączyć,Csatolható,Può essere attaccato,Se puede adjuntar,Peut être attaché,可附加,取り付け可能,Pode ser anexado,可附加,
STR_kr_GUI_attached,Attached,Attached,Připojeno,Beigefügt,Установлены,Przyłączony,Csatolt,Allegato,Adjunto,Ci-joint,随附的,添付,Apegado,随附的,
STR_kr_GUI_CantAttach,Cannot be attached,Cannot be attached,Nelze připojit,Kann nicht angehängt werden,Нельзя установить,Nie można dołączyć,Nem csatolható,Non può essere allegato,No se puede adjuntar,Ne peut pas être attaché,无法附加,添付できません,Não pode ser anexado,无法附加,
STR_kr_GUI_terrible,Terrible,Terrible,Hrozný,Schrecklich,Ужасная,Straszny,Szörnyű,Terribile,Horrible,Terrible,糟糕的,ひどい,Terrível,糟糕的,
STR_kr_GUI_bad,Bad,Bad,Špatný,Schlecht,Плохая,Zły,Rossz,Cattivo,Malo,Mauvais,坏的,悪い,Ruim,坏的,
STR_kr_GUI_normal,Normal,Normal,Normální,Normal,Нормальная,Normalna,Normál,Normale,Normal,Normale,普通的,普通,Normal,普通的,
STR_kr_GUI_good,Good,Good,Dobrý,Gut,Хорошая,Dobry,Jó,Bene,Bien,Bien,好的,良い,Bom,好的,
STR_kr_GUI_excellent,Excellent,Excellent,Vynikající,Exzellent,Отличная,Doskonały,Kiváló,Eccellente,Excelente,Excellent,出色的,素晴らしい,Excelente,出色的,
STR_kr_GUI_akstock,AK (fixed stock),AK (fixed stock),AK (pevné zásoby),AK (Festbestand),АК (фикс. приклад),AK (stała kolba),AK (fix készlet),AK (azionario fisso),AK (stock fijo),AK (stock fixe),AK（固定枪托）,AK（固定ストック）,AK (estoque fixo),AK（固定枪托）,
STR_kr_GUI_akfstock,AK (folding stock),AK (folding stock),AK (skládací pažba),AK (Klappschaft),АК (складной приклад),AK (składana kolba),AK (összecsukható készlet),AK (calcio pieghevole),AK (culata plegable),AK (crosse pliante),AK（折叠枪托）,AK（折りたたみ式ストック）,AK (estoque dobrável),AK（折叠枪托）,
STR_kr_GUI_forRaild,Handguards with Picatinny rail,Handguards with Picatinny rail,Chrániče rukou s příčkou Picatinny,Handschützer mit Picatinny-Schiene,Цевья с планкой Пикаттини,Osłony dłoni z szyną Picatinny,Kézvédők Picatinny sínnel,Paramani con slitta Picatinny,Guardamanos con riel Picatinny,Garde-mains avec rail Picatinny,带皮卡汀尼导轨的护手,ピカティニーレール付きハンドガード,Protetores de mão com trilho Picatinny,带皮卡汀尼导轨的护手,
STR_kr_GUI_DoesNotAffect,Does not affect,Does not affect,Neovlivňuje,Beeinflusst nicht,Не влияет,Nie dotyczy,Nem befolyásolja,Non influisce,No afecta,N'affecte pas,不影响,影響しない,Não afeta,不影响,
STR_kr_GUI_stdAKstocks,Standrt AK Stocks,Standrt AK Stocks,Standrt AK Stocks,Standard-AK-Aktien,Штатные приклады АК,Standrt AK Akcje,Standrt AK Stocks,Azioni AK standard,Acciones de Standrt AK,Stocks Standrt AK,标准AK股票,スタンダードAK株,Ações Padrão AK,标准AK股票,
STR_kr_GUI_arSystems,AR-like systems,AR-like systems,systémy podobné AR,AR-ähnliche Systeme,AR-системы,Systemy podobne do AR,AR-szerű rendszerek,Sistemi simili alla realtà aumentata,Sistemas similares a AR,Systèmes de type RA,类似 AR 的系统,ARのようなシステム,Sistemas semelhantes a RA,类似 AR 的系统,
