Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_kr_weapons_cold_katana_case,Saya,Saya,Saya,Saya,Сая,Saya,Saya,Saya,Saya,Saya,Saya。,さようなら。,Saya,Saya。
STR_kr_weapons_cold_katana_case_dsc,"Saya - Japanese term to designate a sword sheath. During the samurai times they were made from Magnolia wood and lacquered to protect against moisture. In accordance with the tastes of the time decorated with lacquer miniatures, leaf gold or skate skin. For the Katan of the 20th century, especially the period of World War II, the metal sheaths manufactured by European samples are characteristic.","Saya - Japanese term to designate a sword sheath. During the samurai times they were made from Magnolia wood and lacquered to protect against moisture. In accordance with the tastes of the time decorated with lacquer miniatures, leaf gold or skate skin. For the Katan of the 20th century, especially the period of World War II, the metal sheaths manufactured by European samples are characteristic.","Saya - japonský termín označovat plášť meče. Během Samurajských časů byly vyrobeny z dřeva Magnolia a lakované k ochraně před vlhkostí. V souladu s ochutnávkami času zdobené miniaturami laku, listová zlatá nebo skate kůže. Pro katan z 20. století, zejména období druhé světové války, kovové pochvy vyráběné evropskými vzorky jsou charakteristické.","Saya - japanischer Begriff, um eine Schwerthülle zu bezeichnen. Während der Samurai-Zeiten wurden sie aus Magnolienholz hergestellt und lackiert, um vor Feuchtigkeit zu schützen. In Übereinstimmung mit dem Geschmack der Zeit, die mit Lack-Miniaturen, Blattgold- oder Skate-Haut verziert ist. Für den Katan des 20. Jahrhunderts, insbesondere der Zeit des Zweiten Weltkriegs, sind die von europäischen Proben hergestellten Metallhüllen charakteristisch.","Сая — японский термин для обозначения ножен меча. Во времена самураев изготавливались из древесины магнолии и покрывались лаком для защиты от влаги. В соответствии со вкусами того времени украшались лаковыми миниатюрами, листовым золотом или кожей ската. Для катан XX века, особенно периода Второй мировой войны, характерны металлические ножны, изготовленные по европейским образцам. ","Saya - Japoński kadencja do wyznaczenia osłony miecza. Podczas samurajów zostały wykonane z drewna magnolii i lakierowanego, aby chronić przed wilgocią. Zgodnie z upodobaniami czasu ozdobione miniaturami lakierami, złotem liściowym lub skórą skate. Dla Katana XX wieku, zwłaszcza okres II wojny światowej, charakteryzuje się charakterystyki metalowe produkowane przez europejskie próbki.","Saya - japán kifejezés, hogy kijelölje a kardköteget. A szamurájokban a magnólia fából készültek és lakkoztak a nedvesség elleni védelem érdekében. A lakk miniatúrákkal díszített idő ízének megfelelően, a levél arany vagy korcsolyázó bőr. A XX. Század Katánjához, különösen a II. Világháború idejére, az európai minták által gyártott fémburkolatok jellemzőek.","Saya - Termine giapponese per designare una guaina della spada. Durante i tempi del samurai sono stati realizzati in legno di Magnolia e laccato per proteggere dall'umidità. In conformità con i gusti del tempo decorato con miniature laccate, foglia oro o pelle di skate. Per il Katan del 20 ° secolo, in particolare il periodo della seconda guerra mondiale, le guaine metalliche prodotte da campioni europei sono caratteristiche.","Saya - término japonés para designar una funda de espada. Durante los tiempos del samurai se hicieron de la madera de magnolia y lacados para protegerse contra la humedad. De acuerdo con los gustos del tiempo decorado con miniaturas de laca, oro de hoja o piel de patín. Para el Katan del siglo XX, especialmente el período de la Segunda Guerra Mundial, las vainas de metal fabricadas por muestras europeas son características.","Saya - terme japonais pour désigner une gaine d'épée. Pendant les samouraïs, ils ont été fabriqués à partir de Magnolia Wood et laqué pour se protéger contre l'humidité. Conformément aux goûts du temps décoré avec des miniatures laques, une peau d'or feuille ou de patinoire. Pour le Katan du XXe siècle, en particulier la période de la Seconde Guerre mondiale, les gaines métalliques fabriquées par des échantillons européens sont caractéristiques.",Saya  - 日語術語指定劍鞘。在武士時期，它們是由木蘭木製成的，塗漆以防止水分。按照時段的味道裝飾著漆縮樣，葉金或冰鞋皮膚。對於20世紀的Katan，特別是第二次世界大戰期間，歐洲樣本製造的金屬護套是特徵。,Saya  - 剣シースを指定する日本語。武士の時代に彼らはマグノリアウッドから作られており、湿気から保護するために漆塗りされた。ラッカーのミニチュア、葉の金またはスケート肌で装飾された時間の好みに従って。 20世紀のカタンタン、特に第二次世界大戦の期間のために、ヨーロッパのサンプルによって製造された金属の鞘は特徴的です。,"Saya - Termo japonês para designar uma bainha de espada. Durante os tempos de samurai, eles foram feitos de madeira de magnólia e lacados para proteger contra a umidade. De acordo com os gostos do tempo decorados com miniaturas de verniz, folha de ouro ou pele de skate. Para o Katan do século XX, especialmente o período da Segunda Guerra Mundial, as bainhas de metal fabricadas pelas amostras européias são características.",Saya  - 日语术语指定剑鞘。在武士时期，它们是由木兰木制成的，涂漆以防止水分。按照时段的味道装饰着漆缩样，叶金或冰鞋皮肤。对于20世纪的Katan，特别是第二次世界大战期间，欧洲样本制造的金属护套是特征。
STR_kr_weapons_cold_kunai,Kunai,Kunai,Kunai,Kunai,Кунай,Kunai,Kunai,Kunai,Kunai,Kunai,kunai,クーナイ,Kunai,kunai
STR_kr_weapons_cold_kunai_dsc,"Kunai - a Japanese knife, possibly that occurred from the Kelma. Two widely recognizable battery variations are a small kunai and a big kunai This simple tool could become a multifunctional weapon in the hands of the Martial Arts Matters. Kunai is usually associated with a ninja that used it to do holes in the walls. Kunai was originally a farmer tool, but later evolved into weapons, which we know it today.","Kunai - a Japanese knife, possibly that occurred from the Kelma. Two widely recognizable battery variations are a small kunai and a big kunai This simple tool could become a multifunctional weapon in the hands of the Martial Arts Matters. Kunai is usually associated with a ninja that used it to do holes in the walls. Kunai was originally a farmer tool, but later evolved into weapons, which we know it today.","Kunai - japonský nůž, možná, že se vyskytla z Kelma. Dva široce rozpoznatelné variace baterie jsou malá kunai a velká kunai Tento jednoduchý nástroj by se mohl stát multifunkční zbraní v rukou záležitostí bojových umění. Kunai je obvykle spojován s ninja, která ho používá k tomu, aby se otvory ve stěnách. Kunai byl původně farmářský nástroj, ale později se vyvinul do zbraní, které to víme dnes.","Kunai - ein japanisches Messer, das möglicherweise von der Kelma auftrat. Zwei weithin erkennbare Batterievariationen sind ein kleiner Kunai und ein großer Kunai Dieses einfache Werkzeug könnte zu einer multifunktionalen Waffe in den Händen der Kampfkunst wichtig werden. Kunai ist normalerweise mit einem Ninja verbunden, der es dazu benutzte, Löcher in den Wänden zu tun. Kunai war ursprünglich ein Landwirtwerkzeug, entwickelte sich jedoch später in Waffen, die wir heute kennen.","Кунай — японский нож, возможно произошедший от кельмы. Две широко узнаваемые вариации куная — это маленький кунай и большой кунай. Этот простой инструмент мог стать многофункциональным оружием в руках мастера боевых искусств. Кунай обычно ассоциируется с ниндзя, которые использовали его, чтобы проделывать отверстия в стенах. Кунай изначально являлся инструментом фермера, но впоследствии эволюционировал в оружие, которым мы его знаем сегодня. ","Kunai - japoński nóż, prawdopodobnie wystąpiły z Kelmy. Dwie powszechnie rozpoznawalne odmiany baterii są małym kunai i wielkim kunai To proste narzędzie może stać się wielofunkcyjną bronią w rękach sprawach sztuk walki. Kunai jest zwykle związany z ninja, który użył go do wykonywania otworów w ścianach. Kunai był pierwotnie narzędziem rolnym, ale później ewoluował w broń, którą znamy dzisiaj.","Kunai - egy japán kés, esetleg a KELMA-tól. Két széles körben felismerhető akkumulátorváltozás egy kis Kunai és egy nagy Kunai Ez az egyszerű eszköz többfunkciós fegyverévé válhat a harcművészetek kezében. Kunai általában egy ninjahoz kapcsolódik, amely a falakon lyukakat használt. Kunai eredetileg gazdálkodó eszköz volt, de később fegyverekké alakult ki, melyeket ma ismerünk.","Kunai - un coltello giapponese, possibilmente che si è verificato dal Kelma. Due variazioni di batterie ampiamente riconoscibili sono un piccolo kunai e un grande kunai Questo semplice strumento potrebbe diventare un'arma multifunzionale nelle mani delle materie delle arti marziali. Kunai è solitamente associato a un ninja che l'ha usato per fare fori nelle pareti. Kunai era originariamente uno strumento di agricoltori, ma in seguito si è evoluto nelle armi, che lo conosciamo oggi.","Kunai - un cuchillo japonés, posiblemente que ocurrió de Kelma. Dos variaciones de baterías ampliamente reconocibles son un kunai pequeño y un gran kunai Esta simple herramienta podría convertirse en un arma multifuncional en manos de los asuntos de las artes marciales. Kunai generalmente se asocia con un ninja que lo usó para hacer agujeros en las paredes. Kunai fue originalmente una herramienta de agricultores, pero luego evolucionó en armas, lo que lo conocemos hoy.","Kunai - un couteau japonais, éventuellement survenu de la Kelma. Deux variations de batterie largement reconnaissables sont un petit kunai et un grand kunai Cet outil simple pourrait devenir une arme multifonctionnelle entre les mains des arts martiaux. Kunai est généralement associé à une ninja qui l'utilisait pour faire des trous dans les murs. Kunai était à l'origine un outil d'agriculteur, mais a ensuite évolué en armes, que nous le connaissons aujourd'hui.",kunai  - 一個日本刀，可能是從凱馬發生的。兩個廣泛識別的電池變化是一個小kunai和一個大kunai。這個簡單的工具可能成為武術手中的多功能武器。 Kunai通常與忍者相關聯，它用它用於在牆壁上做洞。 Kunai最初是一個農民工具，但後來演變成武器，我們今天知道它。,クナイ - おそらくケルマから発生した日本のナイフ。 2つの広く認識可能な電池のバリエーションは小さなクーナと大きなクーナイです。この単純なツールは、武道の問題の手の中の多機能の武器になる可能性があります。クナイは通常、壁の穴をするためにそれを使った忍者と関連しています。クナイももともと農家のツールでしたが、後で武器に進化しました。,"Kunai - uma faca japonesa, possivelmente ocorrida da Kelma. Duas variações de bateria amplamente reconhecíveis são um pequeno kunai e um grande kunai Esta ferramenta simples poderia se tornar uma arma multifuncional nas mãos das questões de artes marciais. Kunai é geralmente associado a um ninja que usou para fazer buracos nas paredes. Kunai era originalmente uma ferramenta agricultora, mas depois evoluiu em armas, que o conhecemos hoje.",kunai  - 一个日本刀，可能是从凯马发生的。两个广泛识别的电池变化是一个小k​​unai和一个大kunai。这个简单的工具可能成为武术手中的多功能武器。 Kunai通常与忍者相关联，它用它用于在墙壁上做洞。 Kunai最初是一个农民工具，但后来演变成武器，我们今天知道它。
STR_kr_weapons_cold_sawfishKnife,Knife 'Fish Sword',Knife 'Fish Sword',Nůž 'rybí meč',Messer 'Fischschwert',Нож 'Рыба-Меч',Knife 'Fish Sword',"Késsel ""hal kard""",Coltello 'pesce spada',Cuchillo 'Fish Sword',Couteau 'poisson épée',刀子'魚劍',ナイフ「魚刀」,Faca 'espada de peixe',刀子'鱼剑'
STR_kr_weapons_cold_sawfishKnife_dsc,Old but dangerous knife. Scary weapon in the hands of crafts,Old but dangerous knife. Scary weapon in the hands of crafts,"Starý, ale nebezpečný nůž. Strašidelná zbraň v rukou řemesel",Altes aber gefährliches Messer. Furchtsame Waffe in den Händen des Handwerks,"Старый, но опасный нож. Страшное оружие в руках умельца","Stary, ale niebezpieczny nóż. Straszna broń w rękach rzemiosła","Régi, de veszélyes kés. Ijesztő fegyver a kézműves kezében",Coltello vecchio ma pericoloso. Arma spaventosa nelle mani degli artigianato,Cuchillo viejo pero peligroso. Arma de miedo en manos de artesanías.,Couteau vieux mais dangereux. Arme effrayante dans les mains d'artisanat,老但危險的刀。手工手中的可怕武器,古いが危険なナイフ。工芸品の手の中の怖い武器,Faca velha mas perigosa. Arma assustadora nas mãos de artesanato,老但危险的刀。手工手中的可怕武器
STR_kr_weapons_cold_skullaxe,Ax with a skull,Ax with a skull,Sekera s lebkou,Axt mit einem Schädel,Топор с черепом,Topór z czaszką,A koponya,Ascia con un cranio,Hacha con un cráneo,Hache avec un crâne,斧頭用頭骨,頭蓋骨と斧,Machado com um crânio,斧头用头骨
STR_kr_weapons_cold_skullaxe_dsc,A small ax with turtles on the ax,A small ax with turtles on the ax,Malá sekera s želvami na sekeru,Eine kleine Axt mit Schildkröten an der Axt,Небольшой топор с черепами на топорище,Mała topór z żółwiami na toporze,Egy kis fejszék teknősökkel a fejszével,Una piccola ascia con tartarughe sull'ascia,Un pequeño hacedor con tortugas en el hacha.,Une petite hache avec des tortues sur la hache,一個小斧子，斧頭上有烏龜,斧のカメ付き小さい斧,Um pequeno machado com tartarugas no machado,一个小斧子，斧头上有乌龟
STR_kr_weapons_cold_tacticalKnife,Tactical knife,Tactical knife,Taktický nůž,Taktisches Messer,Тактический нож,Nóż taktyczny.,Harcászati ​​kést,Coltello tattico,Cuchillo táctico,Couteau tactique,戰術刀,戦術ナイフ,Faca tática,战术刀
STR_kr_weapons_cold_tacticalKnife_dsc,An excellent knife may have once belonged to the military. He no longer need him,An excellent knife may have once belonged to the military. He no longer need him,Vynikající nůž může jednou patřit k armádě. Už ho nepotřebuje,Ein hervorragendes Messer kann einmal dem Militär gehörten. Er braucht ihn nicht mehr,"Отличный нож, возможно когда-то принадлежал военному. Ему он в любом случае уже не понадобится",Doskonały nóż mógł kiedyś należeć do wojska. On już go nie potrzebuje,"Kiváló kés lehet, hogy a hadsereghez tartozott. Már nem kell rá",Un ottimo coltello può avere una volta appartenersi ai militari. Non ha più bisogno di lui,Un excelente cuchillo puede haber pertenecido alguna vez a los militares. Ya no lo necesito,Un excellent couteau peut avoir une fois appartenu à l'armée. Il n'a plus besoin de lui,一把優秀的刀子可能曾經屬於軍隊。他不再需要他,優れたナイフはかつて軍に属していたかもしれません。彼はもう彼を必要としません,Uma excelente faca pode ter pertencido às forças armadas. Ele não precisa mais dele,一把优秀的刀子可能曾经属于军队。他不再需要他
STR_kr_weapons_cold_warrioraxe,Battle ax,Battle ax,Bitevní sekera,Battle Ax,Боевой Топор,Bojowiec,Csatatér,Ascia da battaglia,Hacha de batalla,Hache de bataille,戰斧,バトルアックス,Machado de batalha,战斧
STR_kr_weapons_cold_warrioraxe_dsc,Terrible melee weapon. Such an ax is capable of some blow to destroy any enemy,Terrible melee weapon. Such an ax is capable of some blow to destroy any enemy,Hrozná zbraň. Taková sekera je schopna některé ránu zničit každý nepřítel,"Schreckliche Nahkampfwaffe. Eine solche Axt ist in der Lage, einen Schlag, um einen Feind zu zerstören",Грозное оружие ближнего боя. Такой топор способен одни ударом уничтожить любого врага,"Straszna broń do walki wręcz. Taki topór jest zdolny do pewnego uderzenia, aby zniszczyć każdy wróg","Szörnyű közelharci fegyver. Egy ilyen aszka képes arra, hogy megsemmisítse az ellenséget",Arma di terribile mischia. Tale ascia è capace di un colpo per distruggere qualsiasi nemico,Terrible arma cuerpo a cuerpo. Tal hacha es capaz de un poco de golpe para destruir a cualquier enemigo.,Arme de mêlée terrible. Une telle hache est capable de souffler pour détruire tout ennemi,可怕的近戰武器。這樣的斧子能夠摧毀任何敵人,ひどい近接兵器。そのような斧は敵を破壊するためにいくらかの打撃が可能です,Arma de corpo a corpo terrível. Tal machado é capaz de algum golpe para destruir qualquer inimigo,可怕的近战武器。这样的斧子能够摧毁任何敌人
STR_kr_weapons_cold_wrenchKnife,Homemade knife,Homemade knife,Domácí nůž,Hausgemachtes Messer,Самодельный Нож,Domowy nóż.,Házi kés,Coltello fatto in casa,Cuchillo casero,Couteau fait maison,自製刀,自家製ナイフ,Faca caseira,自制刀
STR_kr_weapons_cold_wrenchKnife_dsc,A knife made from a wrench by some craftsman. Better than nothing.,A knife made from a wrench by some craftsman. Better than nothing.,Nůž vyrobený z klíče nějakým řemeslníkem. Lepší než nic.,Ein Messer aus einem Schraubenschlüssel von einem Handwerker. Besser als nichts.,"Нож, сделанный из гаечного ключа каким-то умельцем. Лучше, чем совсем ничего.",Nóż wykonany z klucza przez niektórych rzemieślników. Lepsze niż nic.,Egy kést egy kézműves csavarkulccsal készített. Jobb mint a semmi.,Un coltello fatto da una chiave da parte di un artigiano. Meglio di niente.,Un cuchillo hecho de una llave de un artesano. Mejor que nada.,Un couteau fait à partir d'une clé par un artisan. Mieux que rien.,一些工匠由扳手製成的刀。有總比沒有好。,いくつかの職人によってレンチから作られたナイフ。何もないよりマシ。,Uma faca feita de uma chave por algum artesão. Melhor que nada.,一些工匠由扳手制成的刀。有总比没有好。
