Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_magazines_12x76_maxrounds_powermag,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,MaxRounds Powermag 12x76 20 Пт,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 vueltas,SOK-12 12/76 MaxRounds Powermag 20 tours,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds パワーマグ 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,SOK-12 12/76 MaxRounds Powermag 20 Rnd,
STR_kr_magazines_12x76_maxrounds_powermag_dsc,"MaxRounds Powermag 20-round magazine for SOK-12 and compatible weapons, intended for use with 12/76 or 12/70 shells.","MaxRounds Powermag 20-round magazine for SOK-12 and compatible weapons, intended for use with 12/76 or 12/70 shells.","MaxRounds Powermag 20ranný zásobník pro SOK-12 a kompatibilní zbraně, určený pro použití s ​​náboji 12/76 nebo 12/70.","MaxRounds Powermag 20-Schuss-Magazin für SOK-12 und kompatible Waffen, vorgesehen für die Verwendung mit 12/76- oder 12/70-Granaten.","20-ти зарядный магазин Powermag 20, под патрон 12/70, 12/76 для СОК-12 и совместимых. ","Magazynek MaxRounds Powermag na 20 nabojów do broni SOK-12 i kompatybilnych, przeznaczony do stosowania z pociskami 12/76 lub 12/70.","MaxRounds Powermag 20 töltényes tár SOK-12-hez és kompatibilis fegyverekhez, 12/76 vagy 12/70 lövedékekkel való használatra.","Caricatore MaxRounds Powermag da 20 colpi per SOK-12 e armi compatibili, destinato all'uso con proiettili 12/76 o 12/70.","Cargador MaxRounds Powermag de 20 rondas para SOK-12 y armas compatibles, diseñado para usar con proyectiles 12/76 o 12/70.","Chargeur MaxRounds Powermag de 20 coups pour SOK-12 et armes compatibles, destiné à être utilisé avec des obus 12/76 ou 12/70.",MaxRounds Powermag 20 发弹匣，适用于 SOK-12 和兼容武器，适用于 12/76 或 12/70 炮弹。,MaxRounds Powermag 20 発マガジンは、SOK-12 および互換武器用で、12/76 または 12/70 砲弾での使用を目的としています。,"Carregador MaxRounds Powermag de 20 cartuchos para SOK-12 e armas compatíveis, destinado ao uso com cartuchos 12/76 ou 12/70.",MaxRounds Powermag 20 发弹匣，适用于 SOK-12 和兼容武器，适用于 12/76 或 12/70 炮弹。,
STR_kr_magazines_12x76_vpo205_std,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,ВПО 205 12x76 8 Пт,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8 tours,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,VPO 205 12x76 8Rnd,
STR_kr_magazines_12x76_vpo205_std_dsc,Standard VPO 205 magazine. 8 rounds of 12x76 caliber,Standard VPO 205 magazine. 8 rounds of 12x76 caliber,Standardní zásobník VPO 205. 8 nábojů ráže 12x76,Standardmagazin VPO 205. 8 Patronen im Kaliber 12x76,Штатный магазин ВПО205 на 8 патронов калибра 12x76,Standardowy magazynek VPO 205. 8 nabojów kalibru 12x76,Szabványos VPO 205 tár. 8 db 12x76-os kaliberű kör,Caricatore standard VPO 205. 8 colpi di calibro 12x76,Cargador estándar VPO 205. 8 balas de calibre 12x76,Chargeur standard VPO 205. 8 cartouches de calibre 12x76,标准 VPO 205 杂志。 8发12x76口径,スタンダードなVPO 205マガジン。 12x76 口径 8 発,Revista padrão VPO 205. 8 cartuchos de calibre 12x76,标准 VPO 205 杂志。 8发12x76口径,
STR_kr_magazines_545x39_6L18,6L18 5.45x39 45 Rnd,6L18 5.45x39 45 Rnd,"6L18 5,45x39 45 Rnd","6L18 5,45x39 45 Rnd",6Л18 5.45x39 45 Пт,"6L18 5,45x39 45 Rnd","6L18 5,45x39 45 Rnd","6L18 5,45x39 45 Rnd",6L18 5.45x39 45 Vuelta,6L18 5.45x39 45 tours,6L18 5.45x39 45 轮,6L18 5.45x39 45 ラウンド,"6L18 5,45x39 45 volta",6L18 5.45x39 45 轮,
STR_kr_magazines_545x39_6L18_dsc,"45-round bakelite magazine Izhmash 6L18, chambered for 5.45x39 for AK-74 and compatible. Regular magazine for RPK-74.","45-round bakelite magazine Izhmash 6L18, chambered for 5.45x39 for AK-74 and compatible. Regular magazine for RPK-74.","45ranný bakelitový zásobník Izhmash 6L18, komorovaný na 5,45x39 pro AK-74 a kompatibilní. Běžný zásobník pro RPK-74.","45-Schuss-Bakelit-Magazin Izhmash 6L18, Patronenlager 5,45 x 39 für AK-74 und kompatibel. Normales Magazin für RPK-74.","45-ти зарядный бакелитовый магазин Ижмаш 6Л18, под патрон 5.45x39 для АК-74 и совместимых. Штатный магазин для РПК-74. ","45-nabojowy magazynek bakelitowy Izhmash 6L18 z komorą 5,45x39 do AK-74 i kompatybilny. Zwykły magazynek do RPK-74.","45 körös bakelit tár Izhmash 6L18, kamrás 5,45x39 AK-74-hez és kompatibilis. Az RPK-74 rendszeres folyóirata.","Caricatore in bachelite da 45 colpi Izhmash 6L18, camerato per 5,45x39 per AK-74 e compatibile. Caricatore normale per RPK-74.","Cargador de baquelita de 45 balas Izhmash 6L18, con recámara de 5,45x39 para AK-74 y compatibles. Cargador normal para RPK-74.","Chargeur en bakélite de 45 coups Izhmash 6L18, chambré pour 5,45x39 pour AK-74 et compatible. Chargeur régulier pour RPK-74.",45 发胶木弹匣 Izhmash 6L18，弹匣容量为 5.45x39，适用于 AK-74 并兼容。 RPK-74 的常规弹匣。,45発ベークライトマガジンIzhmash 6L18、AK-74用5.45x39用チャンバー付き、互換性あり。 RPK-74用のレギュラーマガジンです。,"Carregador de baquelite de 45 cartuchos Izhmash 6L18, compartimentado para 5,45x39 para AK-74 e compatível. Revista regular para RPK-74.",45 发胶木弹匣 Izhmash 6L18，弹匣容量为 5.45x39，适用于 AK-74 并兼容。 RPK-74 的常规弹匣。,
STR_kr_magazines_545x39_6L20,6L20 5.45x39 30 Rnd,6L20 5.45x39 30 Rnd,"6L20 5,45x39 30 Rnd","6L20 5,45x39 30 Rnd",6Л20 5.45x39 30 Пт,"6L20 5,45x39 30 Rnd","6L20 5,45x39 30 Rnd","6L20 5,45x39 30 Rnd",6L20 5.45x39 30 Vueltas,6L20 5.45x39 30 tours,6L20 5.45x39 30 轮,6L20 5.45x39 30 ラウンド,"6L20 5,45x39 30 volta",6L20 5.45x39 30 轮,
STR_kr_magazines_545x39_6L20_dsc,30 round bakelite magazine Izhmash 6L20 chambered in 5.45x39 for AK-74 and compatibles.,30 round bakelite magazine Izhmash 6L20 chambered in 5.45x39 for AK-74 and compatibles.,"30ranný bakelitový zásobník Izhmash 6L20 s komorou 5,45x39 pro AK-74 a kompatibilní.","30-Schuss-Bakelit-Magazin Izhmash 6L20 im Kaliber 5,45 x 39 für AK-74 und kompatible Modelle.","30-ти зарядный бакелитовый магазин Ижмаш 6Л20, под патрон 5.45x39 для АК-74 и совместимых. ","30-nabojowy magazynek bakelitowy Izhmash 6L20 z komorą 5,45x39 do AK-74 i kompatybilnych.","30 körös bakelit tár Izhmash 6L20 5,45x39-es kamrával AK-74-hez és kompatibilisekhez.",Caricatore Izhmash 6L20 da 30 colpi in bachelite camerato in 5.45x39 per AK-74 e compatibili.,"Cargador de baquelita de 30 cartuchos Izhmash 6L20 con recámara de 5,45x39 para AK-74 y compatibles.","Chargeur 30 coups en bakélite Izhmash 6L20 chambré en 5,45x39 pour AK-74 et compatibles.",30 发胶木弹匣 Izhmash 6L20，弹匣尺寸为 5.45x39，适用于 AK-74 及兼容机。,30発のベークライトマガジンIzhmash 6L20は、AK-74および互換品用の5.45x39チャンバーに収納されています。,"Carregador redondo de baquelite Izhmash 6L20 com 30 cartuchos em 5,45x39 para AK-74 e compatíveis.",30 发胶木弹匣 Izhmash 6L20，弹匣尺寸为 5.45x39，适用于 AK-74 及兼容机。,
STR_kr_magazines_545x39_6L23,6L23 5.45x39 30 Rnd,6L23 5.45x39 30 Rnd,"6L23 5,45x39 30 Rnd","6L23 5,45x39 30 Rnd",6Л23 5.45x39 30 Пт,"6L23 5,45x39 30 Rnd","6L23 5,45x39 30 Rnd","6L23 5,45x39 30 Rnd",6L23 5.45x39 30 Vueltas,6L23 5.45x39 30 tours,6L23 5.45x39 30 轮,6L23 5.45x39 30 ラウンド,"6L23 5,45x39 30 voltas",6L23 5.45x39 30 轮,
STR_kr_magazines_545x39_6L23_dsc,"30-round polymer magazine Izhmash 6L23, chambered in 5.45x39 for AK-74 and compatible.","30-round polymer magazine Izhmash 6L23, chambered in 5.45x39 for AK-74 and compatible.","Polymerový zásobník na 30 nábojů Izhmash 6L23 s komorou 5,45x39 pro AK-74 a kompatibilní.","30-Schuss-Polymermagazin Izhmash 6L23, Patronenlager 5,45 x 39 für AK-74 und kompatibel.","30-ти зарядный полимерный магазин Ижмаш 6Л23, под патрон 5.45x39 для АК-74 и совместимых. ","30-nabojowy magazynek polimerowy Izhmash 6L23, z komorą 5,45x39 do AK-74 i kompatybilny.","30 körös polimer tár Izhmash 6L23, 5,45x39 méretű kamrával AK-74-hez és kompatibilis.","Caricatore in polimero Izhmash 6L23 da 30 colpi, camerato in 5,45x39 per AK-74 e compatibile.","Cargador de polímero de 30 balas Izhmash 6L23, con recámara de 5,45x39 para AK-74 y compatibles.","Chargeur polymère de 30 coups Izhmash 6L23, chambré en 5,45x39 pour AK-74 et compatible.",30 发聚合物弹匣 Izhmash 6L23，5.45x39 弹匣，适用于 AK-74 且兼容。,30 発のポリマー製マガジン Izhmash 6L23、AK-74 用の 5.45x39 チャンバーに収納されており、互換性があります。,"Carregador de polímero de 30 cartuchos Izhmash 6L23, compartimentado em 5,45x39 para AK-74 e compatível.",30 发聚合物弹匣 Izhmash 6L23，5.45x39 弹匣，适用于 AK-74 且兼容。,
STR_kr_magazines_545x39_6L26,6L26 5.45x39 45 Rnd,6L26 5.45x39 45 Rnd,"6L26 5,45x39 45 Rnd","6L26 5,45x39 45 Rnd",6Л26 5.45x39 45 Пт,"6L26 5,45x39 45 Rnd","6L26 5,45x39 45 Rnd","6L26 5,45x39 45 Rnd",6L26 5.45x39 45 Vuelta,6L26 5.45x39 45 tours,6L26 5.45x39 45 轮,6L26 5.45x39 45 ラウンド,"6L26 5,45x39 45 volta",6L26 5.45x39 45 轮,
STR_kr_magazines_545x39_6L26_dsc,"45-round polymer magazine Izhmash 6L26, chambered in 5.45x39 for AK-74 and compatible.","45-round polymer magazine Izhmash 6L26, chambered in 5.45x39 for AK-74 and compatible.","45ranný polymerový zásobník Izhmash 6L26, komorový 5,45x39 pro AK-74 a kompatibilní.","45-Schuss-Polymermagazin Izhmash 6L26 mit einer Kammer im Kaliber 5,45 x 39 für AK-74 und kompatibel.","45-ти зарядный полимерный магазин Ижмаш 6Л26, под патрон 5.45x39 для АК-74 и совместимых.","45-nabojowy magazynek polimerowy Izhmash 6L26, z komorą 5,45x39 do AK-74 i kompatybilny.","45 körös polimer tár Izhmash 6L26, 5,45x39 méretű kamrával AK-74-hez és kompatibilis.","Caricatore in polimero Izhmash 6L26 da 45 colpi, camerato in 5,45x39 per AK-74 e compatibile.","Cargador de polímero de 45 balas Izhmash 6L26, con recámara de 5,45x39 para AK-74 y compatibles.","Chargeur polymère de 45 coups Izhmash 6L26, chambré en 5,45x39 pour AK-74 et compatible.",45 发聚合物弹匣 Izhmash 6L26，弹匣尺寸为 5.45x39，适用于 AK-74 且兼容。,45 発のポリマー製マガジン Izhmash 6L26、AK-74 用の 5.45x39 チャンバーに収容されており、互換性があります。,"Carregador de polímero de 45 cartuchos Izhmash 6L26, compartimentado em 5,45x39 para AK-74 e compatível.",45 发聚合物弹匣 Izhmash 6L26，弹匣尺寸为 5.45x39，适用于 AK-74 且兼容。,
STR_kr_magazines_545x39_6L31,6L31 5.45x39 60 Rnd,6L31 5.45x39 60 Rnd,"6L31 5,45x39 60 Rnd","6L31 5,45x39 60 Rnd",6Л31 5.45x39 60 Пт,"6L31 5,45x39 60 Rnd","6L31 5,45x39 60 Rnd","6L31 5,45x39 60 Rnd",6L31 5.45x39 60 Vuelta,6L31 5.45x39 60 tours,6L31 5.45x39 60 轮,6L31 5.45x39 60 ラウンド,"6L31 5,45x39 60 voltas",6L31 5.45x39 60 轮,
STR_kr_magazines_545x39_6L31_dsc,60-round polymer magazine Izhmash 6L31 chambered in 5.45x39 for AK-74 and compatible. Released in a small batch and did not get into mass production.,60-round polymer magazine Izhmash 6L31 chambered in 5.45x39 for AK-74 and compatible. Released in a small batch and did not get into mass production.,"60ranný polymerový zásobník Izhmash 6L31 komorový 5,45x39 pro AK-74 a kompatibilní. Vydáno v malé dávce a nedostalo se do sériové výroby.","60-Schuss-Polymermagazin Izhmash 6L31 im Kaliber 5,45 x 39 für AK-74 und kompatibel. Es wurde in einer kleinen Charge veröffentlicht und gelangte nicht in die Massenproduktion.","60-ти зарядный четырёхрядный полимерный магазин Ижмаш 6Л31, под патрон 5.45x39 для АК-74 и совместимых. Выпущен малой партией и не попал в серийное производство.","60-nabojowy magazynek polimerowy Izhmash 6L31 z nabojem 5,45x39 do AK-74 i kompatybilny. Wydany w małej partii i nie trafił do masowej produkcji.","60 körös polimer tár Izhmash 6L31 5,45x39 méretű kamrával AK-74-hez és kompatibilis. Kis tételben adták ki, és nem került tömeggyártásba.","Caricatore in polimero Izhmash 6L31 da 60 colpi camerato in 5,45x39 per AK-74 e compatibile. Rilasciato in un piccolo lotto e non è entrato nella produzione di massa.","Cargador de polímero de 60 balas Izhmash 6L31 con recámara de 5,45x39 para AK-74 y compatibles. Lanzado en un lote pequeño y no entró en producción en masa.","Chargeur polymère de 60 coups Izhmash 6L31 chambré en 5,45x39 pour AK-74 et compatible. Sorti en petit lot et n'a pas été produit en série.",60 发聚合物弹匣 Izhmash 6L31，弹匣尺寸为 5.45x39，适用于 AK-74 并兼容。小批量发布，并未进入量产。,60 発のポリマー製マガジン Izhmash 6L31 は、AK-74 用の 5.45x39 チャンバーに収められており、互換性があります。少量ずつリリースされ、大量生産には至りませんでした。,"Carregador de polímero de 60 cartuchos Izhmash 6L31 compartimentado em 5,45x39 para AK-74 e compatível. Lançado em um pequeno lote e não entrou em produção em massa.",60 发聚合物弹匣 Izhmash 6L31，弹匣尺寸为 5.45x39，适用于 AK-74 并兼容。小批量发布，并未进入量产。,
STR_kr_magazines_545x39_ak12_std,AK12 5.45x39 30 Rnd,AK12 5.45x39 30 Rnd,"AK12 5,45x39 30 Rnd","AK12 5,45x39 30 Rnd",АК12 5.45x39 30 Пт,"AK12 5,45x39 30 Rnd","AK12 5,45x39 30 Rnd",AK12 5.45x39 30 Rnd,AK12 5.45x39 30 vueltas,AK12 5.45x39 30 tours,AK12 5.45x39 30 轮,AK12 5.45x39 30 ラウンド,"AK12 5,45x39 30 voltas",AK12 5.45x39 30 轮,
STR_kr_magazines_545x39_ak12_std_dsc,"30-round polymer magazine with windows for control of ammunition manufactured by Izhmash, chambered in 5.45x39 for AK-12 and compatible.","30-round polymer magazine with windows for control of ammunition manufactured by Izhmash, chambered in 5.45x39 for AK-12 and compatible.","Polymerový zásobník na 30 nábojů s okénky pro ovládání munice vyráběný firmou Izhmash, komorový 5,45x39 pro AK-12 a kompatibilní.","30-Schuss-Polymermagazin mit Fenstern zur Kontrolle der Munition, hergestellt von Izhmash, mit einem Patronenlager von 5,45 x 39 für AK-12 und kompatibel.","30-ти зарядный полимерный магазин с окнами для контроля боеприпасов производства Ижмаш, под патрон 5.45x39 для АК-12 и совместимых. ","30-nabojowy magazynek polimerowy z okienkami do kontroli amunicji produkcji Izhmash, z komorą 5,45x39 do AK-12 i kompatybilny.","30 körös polimer tár ablakokkal az Izhmash által gyártott lőszer vezérléséhez, 5,45x39 méretű AK-12-hez és kompatibilis.","Caricatore in polimero da 30 colpi con finestre per il controllo delle munizioni prodotto da Izhmash, camerato in 5,45x39 per AK-12 e compatibile.","Cargador de polímero de 30 balas con ventanas para control de munición fabricado por Izhmash, con recámara en 5,45x39 para AK-12 y compatibles.","Chargeur en polymère de 30 coups avec fenêtres de contrôle des munitions fabriquées par Izhmash, chambré en 5,45x39 pour AK-12 et compatible.",由 Izhmash 制造的 30 发聚合物弹匣，带有用于控制弹药的窗口，弹匣尺寸为 5.45x39，适用于 AK-12 并兼容。,Izhmash 製の弾薬制御用の窓が付いた 30 発のポリマー製マガジン。AK-12 用の 5.45x39 チャンバーに収納されており、互換性があります。,"Carregador de polímero de 30 cartuchos com janelas para controle de munições fabricado pela Izhmash, compartimentado em 5,45x39 para AK-12 e compatível.",由 Izhmash 制造的 30 发聚合物弹匣，带有用于控制弹药的窗口，弹匣尺寸为 5.45x39，适用于 AK-12 并兼容。,
STR_kr_magazines_545x39_magpul_pmag,PMAG 5.45x39 30 Rnd,PMAG 5.45x39 30 Rnd,"PMAG 5,45x39 30 Rnd","PMAG 5,45x39 30 Rnd",PMAG 5.45x39 30 Пт,"PMAG 5,45x39 30 Rnd","PMAG 5,45x39 30 Rnd",PMAG 5.45x39 30 Rnd,PMAG 5.45x39 30 Vueltas,"PMAG 5,45x39 30 tours",PMAG 5.45x39 30 轮,PMAG 5.45x39 30 ラウンド,"PMAG 5,45x39 30 voltas",PMAG 5.45x39 30 轮,
STR_kr_magazines_545x39_magpul_pmag_dsc,Magpul Pmag 30 AK74 GEN M3 30-round polymer magazine chambered in 5.45x39 for AK and compatible.,Magpul Pmag 30 AK74 GEN M3 30-round polymer magazine chambered in 5.45x39 for AK and compatible.,"Magpul Pmag 30 AK74 GEN M3 30ranný polymerový zásobník s komorou 5,45x39 pro AK a kompatibilní.","Magpul Pmag 30 AK74 GEN M3 30-Schuss-Polymermagazin mit Kammer im Kaliber 5,45 x 39 für AK und kompatibel.","30-ти зарядный полимерный магазин Magpul Pmag 30 AK74 GEN M3, под патрон 5.45x39 для АК и совместимых.","Magpul Pmag 30 AK74 GEN M3 30-nabojowy polimerowy magazynek z komorą 5,45x39 do AK i kompatybilny.","Magpul Pmag 30 AK74 GEN M3 30 körből álló polimer tár 5,45x39 méretű AK-hoz és kompatibilis.","Magpul Pmag 30 AK74 GEN M3 Caricatore in polimero da 30 colpi camerato in 5,45x39 per AK e compatibili.","Magpul Pmag 30 AK74 GEN M3 Cargador de polímero de 30 balas con recámara de 5,45x39 para AK y compatibles.","Magpul Pmag 30 AK74 GEN M3 Chargeur de 30 coups en polymère chambré en 5,45x39 pour AK et compatible.",Magpul Pmag 30 AK74 GEN M3 30 发聚合物弹匣，弹匣尺寸为 5.45x39，适用于 AK 和兼容。,Magpul Pmag 30 AK74 GEN M3 30 ラウンド ポリマー マガジンは AK 用の 5.45x39 チャンバーに収められており、互換性があります。,"Magpul Pmag 30 AK74 GEN M3 Carregador de polímero de 30 cartuchos compartimentado em 5,45x39 para AK e compatível.",Magpul Pmag 30 AK74 GEN M3 30 发聚合物弹匣，弹匣尺寸为 5.45x39，适用于 AK 和兼容。,
STR_kr_magazines_545x39_rpk16_drum,RPK-16 5.45x39 95 Rnd,RPK-16 5.45x39 95 Rnd,"RPK-16 5,45x39 95 Rnd","RPK-16 5,45x39 95 Rnd",РПК-16 5.45x39 95 Пт,"RPK-16 5,45x39 95 Rnd","RPK-16 5,45x39 95 Rnd",RPK-16 5.45x39 95 Rnd,RPK-16 5.45x39 95 Vueltas,"RPK-16 5,45x39 95 tours",RPK-16 5.45x39 95 轮,RPK-16 5.45x39 95 ラウンド,"RPK-16 5,45x39 95 volta",RPK-16 5.45x39 95 轮,
