Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_kr_weapons_ammo_408cheytac,.408 CheyTac cartridge,.408 CheyTac cartridge,.408 Náboj CheyTac,.408 CheyTac-Patrone,Патрон 408 CheyTac,Nabój .408 CheyTac,.408 CheyTac patron,Cartuccia CheyTac .408,Cartucho CheyTac .408,Cartouche .408 CheyTac,.408 CheyTac 子弹,.408 CheyTacカートリッジ,Cartucho .408 CheyTac,.408 CheyTac 子弹,
STR_kr_weapons_ammo_408cheytac_dsc,"This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","This is a standard large-caliber cartridge used in military and civilian firearms. It possesses high power and long-range capabilities, allowing it to engage targets at significant distances.","Jedná se o standardní velkorážní náboj používaný ve vojenských a civilních střelných zbraních. Má vysoký výkon a schopnosti dlouhého dosahu, což mu umožňuje zasáhnout cíle na značné vzdálenosti.","Hierbei handelt es sich um eine Standardpatrone mit großem Kaliber, die in militärischen und zivilen Schusswaffen verwendet wird. Sie verfügt über eine hohe Durchschlagskraft und große Reichweite, sodass Ziele in beträchtlicher Entfernung beschossen werden können.","Этот патрон также относится к крупному калибру и используется в снайперских винтовках. Он обладает высокой точностью и дальностью полета, позволяя стрелку поражать цели на больших расстояниях. Этот патрон обычно используется для стрельбы на дальние расстояния и преодоления сильного сопротивления воздуха.","To standardowy nabój dużego kalibru używany w broni wojskowej i cywilnej. Posiada dużą moc i zasięg, co pozwala mu atakować cele na znaczną odległość.","Ez egy szabványos, nagy kaliberű töltény, amelyet katonai és polgári lőfegyverekben használnak. Nagy teljesítményű és nagy hatótávolságú képességekkel rendelkezik, lehetővé téve, hogy jelentős távolságra lévő célpontokba ütközzen.","Si tratta di una cartuccia standard di grosso calibro utilizzata nelle armi da fuoco militari e civili. Possiede elevata potenza e capacità a lunga gittata, consentendo di colpire bersagli a distanze significative.","Este es un cartucho estándar de gran calibre, utilizado en armas de fuego militares y civiles. Posee alta potencia y gran alcance, lo que le permite alcanzar objetivos a distancias considerables.",Il s'agit d'une cartouche standard de gros calibre utilisée dans les armes à feu militaires et civiles. Sa puissance élevée et sa longue portée lui permettent d'atteindre des cibles à des distances considérables.,这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,これは軍用および民間の銃器で使用される標準的な大口径弾薬です。高​​威力と長距離射程を誇り、遠距離の標的への攻撃が可能です。,"Este é um cartucho padrão de grande calibre usado em armas de fogo militares e civis. Possui alta potência e capacidade de longo alcance, permitindo atingir alvos a distâncias consideráveis.",这是军用和民用枪械中使用的标准大口径子弹。它威力大，射程远，能够打击远距离目标。,
STR_kr_weapons_ammo_338lm_AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 Lapua Magnum AP,.338 拉普阿马格南 AP,.338 ラプア・マグナム AP,.338 Lapua Magnum AP,.338 拉普阿马格南 AP,
STR_kr_weapons_ammo_338lm_AP_dsc,.338 Lapua Magnum AP round with 239 Grain armor-piercing bullet.,.338 Lapua Magnum AP round with 239 Grain armor-piercing bullet.,Kulka .338 Lapua Magnum AP s průbojnou kulkou 239 Grain.,.338 Lapua Magnum AP-Patrone mit 239 Grain panzerbrechendem Geschoss.,"Патрон .338 Lapua Magnum (8.6x70мм) AP с двухэлементной пулей массой 15.4 грамм с наконечником из карбида вольфрама и поддоном, в латунной гильзе. Патрон был разработан для увеличения антиматериальных возможностей винтовок калибра .338 Lapua Magnum, и способен пробивать легкобронированный транспорт, проявляя превосходные результаты против самых современных средств индивидуальной защиты 5-6 класса. Пуля также обладает разрушительным останавливающим и травмирующим воздействием на цель после попадания. Однако, из-за своей конструкции, она имеет высокую вероятность отскока от различных поверхностей.",Nabój .338 Lapua Magnum AP z pociskiem przeciwpancernym o masie 239 granów.,.338 Lapua Magnum AP kör 239 Grain páncéltörő golyóval.,Proiettile AP .338 Lapua Magnum con proiettile perforante da 239 grani.,Munición AP Lapua Magnum de calibre .338 con bala perforante de 239 granos.,Cartouche AP .338 Lapua Magnum avec balle perforante de 239 grains.,.338 Lapua Magnum AP 子弹，配备 239 格令穿甲弹。,239グレインの徹甲弾を装填した.338ラプア・マグナムAP弾。,Munição .338 Lapua Magnum AP com bala perfurante de 239 grãos.,.338 Lapua Magnum AP 子弹，配备 239 格令穿甲弹。,
STR_kr_weapons_ammo_338lm_FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338 Lapua Magnum FMJ,.338拉普阿马格南全金属穿甲弹,.338 ラプア・マグナム FMJ,.338 Lapua Magnum FMJ,.338拉普阿马格南全金属穿甲弹,
STR_kr_weapons_ammo_338lm_FMJ_dsc,A regular .338 Lapua Magnum round with a Full Metal Jacket bullet.,A regular .338 Lapua Magnum round with a Full Metal Jacket bullet.,Obyčejný náboj .338 Lapua Magnum s celokovovou kulkou.,Eine normale .338 Lapua Magnum-Patrone mit einem Full Metal Jacket-Geschoss.,"Патрон .338 Lapua Magnum (8.6x70мм) с цельнометаллической пулей FMJ массой 16,2 грамм со свинцовым сердечником, в биметаллической оболочке, в латунной гильзе. Несмотря на относительно простую конструкцию, пуля обладает высокой убойностью и пробивной способностью против брони базового и среднего уровня защиты. Однако, из-за своей конструкции, она имеет высокую вероятность отскока от различных поверхностей",Zwykły nabój .338 Lapua Magnum z pociskiem Full Metal Jacket.,"Normál .338-as Lapua Magnum golyó, Full Metal Jacket golyóval.",Un normale proiettile .338 Lapua Magnum con rivestimento Full Metal Jacket.,Una bala Lapua Magnum .338 normal con una bala Full Metal Jacket.,Une cartouche .338 Lapua Magnum standard avec une balle Full Metal Jacket.,一颗常规的 .338 拉普阿马格南子弹，带有全金属被甲弹头。,フルメタルジャケット弾を装備した通常の.338ラプアマグナム弾。,Um cartucho regular .338 Lapua Magnum com uma bala Full Metal Jacket.,一颗常规的 .338 拉普阿马格南子弹，带有全金属被甲弹头。,
STR_kr_weapons_ammo_338lm_TAC,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 Lapua Magnum TAC-X,.338 拉普阿马格南 TAC-X,.338 ラプア・マグナム TAC-X,.338 Lapua Magnum TAC-X,.338 拉普阿马格南 TAC-X,
STR_kr_weapons_ammo_338lm_TAC_dsc,.338 Lapua Magnum TAC-X- civilian round with a expanding bullet.,.338 Lapua Magnum TAC-X- civilian round with a expanding bullet.,.338 Lapua Magnum TAC-X- civilní náboj s rozšiřující se střelou.,.338 Lapua Magnum TAC-X – Zivilpatrone mit Deformationsgeschoss.,"Гражданский патрон .338 Lapua Magnum (8.6x70мм) TAC-X с экспансивной медной пулей массой 18.4 грамм, в латунной гильзе. Пуля обеспечивает хорошую передачу энергии на больших дистанциях и предназначена для охоты на крупную дичь, так как обладает превосходным останавливающим действием для своего калибра и способна вызывать критическое травмирующее воздействие на цель после удара. Однако, несмотря на высокую энергию калибра .338 Lapua Magnum и конструкцию пули, она не обладает бронебойными свойствами и имеет высокую вероятность отскока от различных поверхностей.",.338 Lapua Magnum TAC-X - nabój cywilny z pociskiem ekspandującym.,.338 Lapua Magnum TAC-X- polgári lövedék táguló golyóval.,.338 Lapua Magnum TAC-X: proiettile civile con proiettile espandibile.,.338 Lapua Magnum TAC-X: munición civil con bala expansiva.,.338 Lapua Magnum TAC-X - cartouche civile avec une balle expansive.,.338 Lapua Magnum TAC-X-带有扩张子弹的民用子弹。,.338 ラプア マグナム TAC-X - 拡張弾頭を備えた民間用弾丸。,.338 Lapua Magnum TAC-X - munição civil com bala expansiva.,.338 Lapua Magnum TAC-X-带有扩张子弹的民用子弹。,
STR_kr_weapons_ammo_338lm_UPZ,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum УПЗ,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338 Lapua Magnum UCW,.338拉普阿马格南UCW,.338 ラプア・マグナム UCW,.338 Lapua Magnum UCW,.338拉普阿马格南UCW,
STR_kr_weapons_ammo_338lm_UPZ_dsc,".338 Lapua magnum hunting round, manufatured by Ulyanovsk Cartridge Works.",".338 Lapua magnum hunting round, manufatured by Ulyanovsk Cartridge Works.","Lovecký náboj .338 Lapua magnum, vyrobený Ulyanovsk Cartridge Works.",".338 Lapua Magnum-Jagdpatrone, hergestellt von Ulyanovsk Cartridge Works.","Патрон .338 Lapua Magnum (8.6x70мм) УПЗ с пулей массой 16.2 грамма со свинцовым сердечником, в латунной оболочке, в латунной гильзе. Предназначен для охоты и спортивной стрельбы, произведен на Ульяновском Патронном Заводе. Обладает выдающимся останавливающим действием и даже способен пробивать броню базового уровня защиты. Однако, из-за своей конструкции, пуля имеет высокую вероятность отскока от различных поверхностей.","Nabój myśliwski kal. .338 Lapua magnum, produkowany przez Ulyanovsk Cartridge Works.",".338 Lapua magnum vadászkör, gyártó: Ulyanovsk Cartridge Works.","Cartuccia da caccia .338 Lapua magnum, prodotta da Ulyanovsk Cartridge Works.","Munición de caza Lapua Magnum calibre .338, fabricada por Ulyanovsk Cartridge Works.","Cartouche de chasse .338 Lapua magnum, fabriquée par Ulyanovsk Cartridge Works.",.338 拉普阿马格南狩猎弹，由乌里扬诺夫斯克弹药厂制造。,ウリヤノフスク・カートリッジ・ワークス社が製造した .338 ラプア・マグナム狩猟用弾丸。,"Munição de caça .338 Lapua Magnum, fabricada pela Ulyanovsk Cartridge Works.",.338 拉普阿马格南狩猎弹，由乌里扬诺夫斯克弹药厂制造。,
STR_kr_weapons_ammo_366tkm_AP,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 ТКМ БП-М,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,.366 TKM AP-M,
