Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
STR_weapons_firearms_ASH12,ASh-12,ASh-12,Ash-12,ASH-12,АШ-12,Ash-12,Ash-12,Ash-12,Ceniza-12,ASH-12,Ash-12,ASH-12,Ash-12,Ash-12
STR_weapons_firearms_ASH12_dsc,"The ASh-12.7 (which stands for Automatic assault rifle, 12.7mm) battle rifle is a dedicated CQB/Urban Operations weapon, developed by TsKIB SOO (Central Design and Research Bureau of Sporting and Hunting Arms), a subsidiary of the KBP Instrument Design Bureau of Tula, Russia, by request from the Russian FSB (Federal Security Service). The weapon was designed with extreme short-range stopping power in mind for FSB urban combat units.","The ASh-12.7 (which stands for Automatic assault rifle, 12.7mm) battle rifle is a dedicated CQB/Urban Operations weapon, developed by TsKIB SOO (Central Design and Research Bureau of Sporting and Hunting Arms), a subsidiary of the KBP Instrument Design Bureau of Tula, Russia, by request from the Russian FSB (Federal Security Service). The weapon was designed with extreme short-range stopping power in mind for FSB urban combat units.","Battle puška Ash-12.7 (která znamená automatickou útočnou pušku, 12,7 mm) Battle Rifle je specializovaná zbraň CQB/Urban Operations, vyvinutá společností Tskib Soo (Central Design and Research Bureau of Sporting and Hunting Arms), dceřinou společností KBP Instrument Design. Bureau of Tula, Rusko, na žádost ruské FSB (Federal Security Service). Zbraň byla navržena s ohledem na extrémní zastavovací sílu krátkého dosahu pro městské bojové jednotky FSB.","Das Battle Rifle des automatischen Sturmgewehrs, 12,7 mm, ist eine dedizierte CQB/Urban Operations-Waffe, die von TSKIB Soo (Central Design and Research Bureau of Sporting and Hunting Arms), einer Tochtergesellschaft des KBP-Instrumentendesigns, entwickelt wurde, das ASH-122.7 (das für das automatische Sturmgewehr steht). Bureau of Tula, Russland, auf Anfrage des russischen FSB (Federal Security Service). Die Waffe wurde mit extremen Kurzstrecken-Stoppkraft für FSB-städtische Kampfeinheiten entworfen.","Российский крупнокалиберный штурмовой автомат, созданный в ЦКИБ СОО для нужд подразделений спецназначения ФСБ России вместе со снайперской винтовкой ВССК.","Ash-122.7 (który oznacza automatyczny karabin szturmowy, 12,7 mm) karabin bojowy to dedykowana broń CQB/Urban Operations, opracowana przez TSKIB Soo (Central Design and Research Bureau of Sporting and Hunting Arms), spółka zależna KBP Instrument Design Design Design Biuro Tula, Rosja, na żądanie rosyjskiego FSB (Federalna Służba Bezpieczeństwa). Broń została zaprojektowana z myślą o ekstremalnej mocy zatrzymania krótkiego zasięgu dla fSB miejskich jednostek bojowych.","Az ASH-12.7 (amely az automatikus támadó puska, 12,7 mm-es) csata puska egy dedikált CQB/Urban Operations fegyver, amelyet a TSKIB SOO fejlesztett ki (a KBP műszeres tervezés központi tervezője és kutatási irodája). A Tula Irodája, Oroszország, az orosz FSB (Szövetségi Biztonsági Szolgálat) kérésére. A fegyvert az FSB városi harci egységek szélsőséges rövid hatótávolságú megállási erővel tervezték.","L'ASH-12.7 (che sta per il fucile d'assalto automatico, 12,7 mm) fucile da battaglia è un'arma dedicata di operazioni cqb/urbane, sviluppata da Tskib Soo (Central Design and Research Bureau of Sporting and Hunting Arms), una consociata del design KBP Instrument Design Bureau of Tula, Russia, su richiesta dell'FSB russo (Servizio di sicurezza federale). L'arma è stata progettata con un estremo potere di arresto a corto raggio per le unità di combattimento urbano FSB.","El rifle Battle ASH-12.7 (que significa Rifle de asalto automático, 12.7 mm) de batalla es un arma dedicada de operaciones CQB/urbana, desarrollada por Tskib Soo (Oficina Central de Diseño e Investigación de Armas Sporting and Hunting), una subsidiaria del diseño de instrumentos KBP de instrumentos KBP. Oficina de Tula, Rusia, por solicitud del FSB ruso (Servicio Federal de Seguridad). El arma fue diseñada con un poder de detención extremo de corto alcance en mente para las unidades de combate urbano FSB.","Le fusil Ash-2.7 (qui représente le fusil d'assaut automatique, 12,7 mm) Battle Rifle est une arme dédiée aux opérations CQB / urbain, développée par Tskib Soo (Bureau de conception et de recherche centrale des armes sportives et de chasse), une filiale de la KBP Instrument Design Bureau of Sporting and Hunting Arm Bureau de Tula, Russie, par demande du FSB russe (Federal Security Service). L'arme a été conçue avec une puissance d'arrêt à court terme extrême à l'esprit pour les unités de combat urbain FSB.",ASH-122.7（代表自动突击步枪，12.7毫米）战斗步枪是由Tskib Soo（体育和狩猎武器的中央设计与研究局）开发的专用CQB/Urban Operation武器，KBP乐器设计的子公司根据俄罗斯FSB（联邦安全局）的要求，俄罗斯图拉局。该武器的设计牢记了FSB Urban战斗单元的极端短程停止力量。,ASH-12.7（自動アサルトライフル、12.7mmの略）バトルライフルは、KBPインストゥルメントデザインの子会社であるTSKIB SOO（スポーツアンドハンティングアームズのセントラルデザインおよび研究局）が開発した専用のCQB/都市作戦兵器です。ロシアのTula局、ロシアのFSB（連邦安全保障局）からの要請により。武器は、FSB都市戦闘ユニットの極端な短距離停止電力を念頭に置いて設計されました。,"O rifle Battle ASH-12.7 (que significa Rifle Automático de Assault, 12,7mm) é uma arma dedicada de operações CQB/Urban, desenvolvida pela Tskib Soo (Desenvolvimento Central de Projeto e Pesquisa de Armas Esportivas e Hunting), uma subsidiária do KBP Instrument Design Instrument Design de instrumentos Bureau of Tula, Rússia, por solicitação do FSB russo (Serviço de Segurança Federal). A arma foi projetada com poder de parada de curto alcance extremo em mente para as unidades de combate urbano do FSB.",ASH-122.7（代表自动突击步枪，12.7毫米）战斗步枪是由Tskib Soo（体育和狩猎武器的中央设计与研究局）开发的专用CQB/Urban Operation武器，KBP乐器设计的子公司根据俄罗斯FSB（联邦安全局）的要求，俄罗斯图拉局。该武器的设计牢记了FSB Urban战斗单元的极端短程停止力量。
STR_weapons_firearms_M4,Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),Colt M4A1 (260 mm),柯尔特M4A1（260毫米）,コルトM4A1（260 mm）,Colt M4A1 (260 mm),柯尔特M4A1（260毫米）
STR_weapons_firearms_M4_dsc,"The Colt M4A1 carbine is a fully automatic variant of the basic M4 Carbine and was primarily designed for special operations use. However, U.S. Special Operations Command (USSOCOM) was soon to adopt the M4A1 for almost all special operations units, followed later by general introduction of the M4A1 into service with the U.S. Army and Marine Corps.","The Colt M4A1 carbine is a fully automatic variant of the basic M4 Carbine and was primarily designed for special operations use. However, U.S. Special Operations Command (USSOCOM) was soon to adopt the M4A1 for almost all special operations units, followed later by general introduction of the M4A1 into service with the U.S. Army and Marine Corps.","Karbina Colt M4A1 je plně automatickou variantou základní karabiny M4 a byla primárně navržena pro speciální operace. Velení amerických speciálních operací (USSOMOM) však brzy přijalo M4A1 pro téměř všechny zvláštní operační jednotky, po kterém následovalo obecné zavedení M4A1 do služby s americkou armádou a námořní sbory.","Der Colt M4A1 -Karabiner ist eine vollautomatische Variante des Basis -M4 -Karabiner und wurde hauptsächlich für den speziellen Betriebsgebrauch ausgelegt. Das US -amerikanische Spezialoperationskommando (UdsoCOM) sollte jedoch bald den M4A1 für fast alle Spezialoperationen einnehmen, gefolgt von der allgemeinen Einführung des M4A1 in den Dienst mit dem US Army und dem Marine Corps.","Colt M4A1- штурмовая винтовка (карабин), созданная в США на базе платформы AR-15 под патрон 5.56x45 NATO. Планировалась к вооружению экипажей боевых машин и расчётов техники, которым было необходимо иметь оружие меньших габаритов, чем штатное вооружение, но использующее стандартные боеприпасы. Однако вскоре, US SOCOM (Командование Сил Специальных Операций США) приняло на вооружение M4A1 для всех входящих в его состав подразделений. Затем последовало полное принятие M4A1 на вооружение в армии и морской пехоте США. ","Karabinek Colt M4A1 jest w pełni automatycznym wariantem podstawowego karabinu M4 i został zaprojektowany przede wszystkim do użytku specjalnego. Jednak amerykańskie dowództwo operacji specjalnych (USSOCOM) miało wkrótce przyjąć M4A1 dla prawie wszystkich jednostek operacyjnych specjalnych, a następnie ogólne wprowadzenie M4A1 do służby w armii amerykańskiej i korpusu piechoty morskiej.","A Colt M4A1 karabély az alapvető M4 karabély teljesen automatikus változata, és elsősorban a speciális műveletek használatára tervezték. Az Egyesült Államok Különleges Műveleti Parancsnokságának (USSOCOM) azonban hamarosan elfogadta az M4A1 -et szinte minden különleges műveleti egység számára, amelyet később az M4A1 általános bevezetése követte az Egyesült Államok Hadseregével és a Marine Corps -szal.","La carbina Colt M4A1 è una variante completamente automatica della carbina M4 di base ed è stata progettata principalmente per l'uso di operazioni speciali. Tuttavia, il Comando delle operazioni speciali statunitensi (USSOCOM) avrebbe presto adottato l'M4A1 per quasi tutte le unità operative speciali, seguita in seguito dall'introduzione generale dell'M4A1 in servizio con l'Esercito degli Stati Uniti e il Corpo dei Marines.","La carabina Colt M4A1 es una variante totalmente automática de la carabina M4 básica y fue diseñada principalmente para uso de operaciones especiales. Sin embargo, el Comando de Operaciones Especiales de EE. UU. (USSOCOM) pronto adoptaría el M4A1 para casi todas las unidades de operaciones especiales, seguido más tarde por la introducción general del M4A1 en servicio con el Ejército de EE. UU. Y el Cuerpo de Marines.","La carabine Colt M4A1 est une variante entièrement automatique de la carabine M4 de base et a été principalement conçue pour une utilisation des opérations spéciales. Cependant, le Commandement des opérations spéciales des États-Unis (USSOCOM) allait bientôt adopter le M4A1 pour presque toutes les unités d'opérations spéciales, suivie plus tard par l'introduction générale du M4A1 en service avec l'armée américaine et le Marine Corps.",柯尔特M4A1卡宾枪是基本M4卡宾枪的全自动变体，主要用于特殊操作。但是，美国特种作战司令部（USSOCOM）很快就将采用M4A1几乎所有特种作战部门，随后将M4A1一般介绍给美国陆军和海军陆战队。,Colt M4A1カルビンは、基本的なM4カルビンの完全に自動化されたバリアントであり、主に特殊作業用に設計されています。ただし、米国特殊作戦司令部（USSOCOM）は、ほとんどすべての特殊作戦ユニットにM4A1をまもなく採用し、その後、米国陸軍および海兵隊とのサービスへのM4A1の一般的な導入が続きました。,"A carabina Colt M4A1 é uma variante totalmente automática da carabina M4 básica e foi projetada principalmente para uso de operações especiais. No entanto, o Comando de Operações Especiais dos EUA (USSOCOM) logo adotaria o M4A1 para quase todas as unidades de operações especiais, seguidas posteriormente pela introdução geral do M4A1 em serviço com o Exército e o Corpo de Fuzileiros Navais dos EUA.",柯尔特M4A1卡宾枪是基本M4卡宾枪的全自动变体，主要用于特殊操作。但是，美国特种作战司令部（USSOCOM）很快就将采用M4A1几乎所有特种作战部门，随后将M4A1一般介绍给美国陆军和海军陆战队。
STR_weapons_firearms_M4_370,Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),Colt M4A1 (370 mm),柯尔特M4A1（370毫米）,コルトM4A1（370 mm）,Colt M4A1 (370 mm),柯尔特M4A1（370毫米）
STR_weapons_firearms_M4_406,Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),Colt M4A1 (406 mm),柯尔特M4A1（406毫米）,コルトM4A1（406 mm）,Colt M4A1 (406 mm),柯尔特M4A1（406毫米）
STR_weapons_firearms_M4_457,Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),Colt M4A1 (457 mm),柯尔特M4A1（457毫米）,コルトM4A1（457 mm）,Colt M4A1 (457 mm),柯尔特M4A1（457毫米）
STR_weapons_firearms_M4_508,Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),Colt M4A1 (508 mm),柯尔特M4A1（508毫米）,コルトM4A1（508 mm）,Colt M4A1 (508 mm),柯尔特M4A1（508毫米）
STR_weapons_firearms_FAL,SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58 (280 mm),SA-58（280毫米）,SA-58（280 mm）,SA-58 (280 mm),SA-58（280毫米）
STR_weapons_firearms_FAL_dsc,"The SA-58 OSW (Operations Specialist Weapon), manufactured by American company DSA (or DS Arms - David Selvaggio Arms), is a legal copy of the FAL. It's made with the same Steyr-Daimler-Puch production line equipment as the StG-58. It may come with a different barrel length, an aluminum-alloy lower receiver, and improved glass-filled nylon furniture. Civilian models are semi-automatic, but military and law enforcement clients can procure select-fire models that have a fully automatic cyclic rate of 750 rounds/minute. The DSA-58 can use any metric-measurement FAL magazines.","The SA-58 OSW (Operations Specialist Weapon), manufactured by American company DSA (or DS Arms - David Selvaggio Arms), is a legal copy of the FAL. It's made with the same Steyr-Daimler-Puch production line equipment as the StG-58. It may come with a different barrel length, an aluminum-alloy lower receiver, and improved glass-filled nylon furniture. Civilian models are semi-automatic, but military and law enforcement clients can procure select-fire models that have a fully automatic cyclic rate of 750 rounds/minute. The DSA-58 can use any metric-measurement FAL magazines.","SA -58 OSW (Operations Specialist zbraň), vyrobená americkou společností DSA (nebo DS Arms - David Selvaggio Arms), je legální kopií FAL. Je vyroben se stejným zařízením pro výrobu Steyr-Daimler-Puch jako STG-58. Může být dodáván s jinou délkou hlavně, dolním přijímačem z hliníku a vylepšeným nylonovým nábytkem naplněným sklem. Civilní modely jsou poloautomatické, ale klienti s vojenskými a vymáháními práva mohou zajistit modely vybraných ohněmi, které mají plně automatickou cyklickou míru 750 kol/minutu. DSA-58 může použít jakékoli metrické měření FAL.","Die SA -58 OSW (Operations Specialist Weapon), die von der American Company DSA (oder DS Arms - David Selvaggio Arms) hergestellt wurde, ist eine legale Kopie des Fal. Es ist mit der gleichen Steyr-Daimler-Puch-Produktionslinienausrüstung wie der STG-58 hergestellt. Es kann mit einer anderen Lauflänge, einem Aluminium-Alloy-unteren Empfänger und einer verbesserten, mit Glas gefüllten Nylonmöbeln ausgestattet sein. Zivile Modelle sind semi-automatische, aber militärische und Strafverfolgungsbehörden können ausgewählte Firmenmodelle beschaffen, die eine vollautomatische zyklische Rate von 750 Runden/Minute haben. Der DSA-58 kann alle Metrik-Mess-Falurement-FAL-Magazine verwenden.","SA-58 OSW (Operations Specialist Weapon) производимая американской компанией DSA (David Selveggio Arms) на той же производственной линии, что и StG-58, и является официальной копии винтовок FAL.Гражданская версия производится только в полу-автоматическом варианте, так же для полиции или армейских подразделений производится модификация с возможностью ведения автоматического огня. DSA-58 полностью совместима с любыми метрическими магазинами для FN FAL.","SA -58 OSW (broń operacyjna), produkowana przez amerykańską firmę DSA (lub DS Arms - David Selvaggio Arms), jest prawną kopią FAL. Jest wykonany z tego samego sprzętu do linii produkcyjnej Steyr-Daimler-Puch jak STG-58. Może mieć inną długość lufy, dolny odbiornik aluminiowy i ulepszone meble nylonowe wypełnione szkłem. Modele cywilne są półautomatyczne, ale klienci wojskowi i organów ścigania mogą zdobyć modele wyboru, które mają w pełni automatyczną stawkę cykliczną wynoszącą 750 rund/minutę. DSA-58 może korzystać z dowolnych czasopism METRIC MEASU przez FAL.","Az SA -58 OSW (Operations Specialist Wear), amelyet az amerikai DSA (vagy DS ARMS - David Selvaggio Arms) gyárt, a FAL törvényes példánya. Ugyanazon Steyr-Daimler-Puch gyártósorral készül, mint az STG-58. Lehet, hogy eltérő hordóhosszúsággal, alumínium-ötvözött alsó vevőkészülékkel és továbbfejlesztett üvegekkel töltött nylon bútorokkal. A polgári modellek félautomata, de a katonai és bűnüldözési ügyfelek olyan válogatott-tűz modelleket szerezhetnek be, amelyek teljesen automatikus ciklikus sebességgel rendelkeznek, 750 forduló/perc. A DSA-58 bármilyen metrikus-mérési FAL magazinot használhat.","La SA -58 OSW (Specialista Operations Weapon), prodotta dalla società americana DSA (o DS Arms - David Selvaggio Arms), è una copia legale della FAL. È realizzato con la stessa attrezzatura di linea di produzione Steyr-Daimler-Puch dell'STG-58. Potrebbe essere fornito con una lunghezza di canna diversa, un ricevitore inferiore in alluminio e un miglioramento di mobili in nylon pieni di vetro. I modelli civili sono semi-automatici, ma i clienti militari e delle forze dell'ordine possono procurarsi modelli di fuoco selezionato che hanno un tasso ciclico completamente automatico di 750 round/minuto. Il DSA-58 può utilizzare qualsiasi riviste FAL con misurazione metrica.","El SA -58 OSW (arma especialista en operaciones), fabricada por la compañía estadounidense DSA (o DS Arms - David Selvaggio Arms), es una copia legal del FAL. Está hecho con el mismo equipo de línea de producción Steyr-Daimler-Puch que el STG-58. Puede venir con una longitud de barril diferente, un receptor inferior de aleación de aluminio y muebles de nylon llenos de vidrio. Los modelos civiles son semiautomáticos, pero los clientes militares y policiales pueden adquirir modelos de fuego selecto que tienen una tasa cíclica totalmente automática de 750 rondas/minuto. El DSA-58 puede usar cualquier revista de medición métrica FAL.","L'OSW SA-58 (arme spécialisée des opérations), fabriquée par la société américaine DSA (ou DS Arms - David Selvaggio Arms), est une copie légale du FAL. Il est fait avec le même équipement de ligne de production Steyr-Daimler-puch que le STG-58. Il peut être livré avec une longueur de baril différente, un récepteur inférieur en alliage en aluminium et un mobilier en nylon rempli de verre amélioré. Les modèles civils sont semi-automatiques, mais les clients militaires et d'application de la loi peuvent se procurer des modèles de tir sélectionnés qui ont un taux cyclique entièrement automatique de 750 tours / minute. Le DSA-58 peut utiliser tous les magazines FAL de la mesure métrique.",由美国公司DSA（或DS Arms -David Selvaggio Arms）生产的SA -58 OSW（操作专业武器）是FAL的法定副本。它由与STG-58相同的Steyr-Daimler-Puch生产线设备制成。它可能带有不同的枪管长度，铝合金下接收器以及改进的充满玻璃尼龙家具。平民模型是半自动的，但是军事和执法客户可以采购具有750发/分钟的全自动循环速率的精选模型。 DSA-58可以使用任何度量测量FAL杂志。,American Company DSA（またはDS Arms -David Selvaggio Arms）が製造したSA -58 OSW（オペレーションスペシャリスト武器）は、FALの法的コピーです。 STG-58と同じSteyr-Daimler-Puchの生産ライン機器で作られています。異なるバレルの長さ、アルミニウム合金の下部レシーバー、およびガラスで満たされたナイロン家具が改善されている場合があります。民間モデルは半自動ですが、軍事および法執行機関のクライアントは、750ラウンド/分の完全に自動循環レートを持つ選択火災モデルを調達できます。 DSA-58は、メトリック測定FAL雑誌を使用できます。,"O SA -58 OSW (Arma Especialista em Operações), fabricada pela empresa americana DSA (ou DS Arms - David Selvaggio Arms), é uma cópia legal do FAL. É feito com o mesmo equipamento de linha de produção Steyr-Daimler-Puch que o STG-58. Pode vir com um comprimento de barril diferente, um receptor inferior em liga de alumínio e móveis de nylon de vidro aprimorados. Os modelos civis são semi-automáticos, mas os clientes militares e policiais podem adquirir modelos de incêndio selecionados com uma taxa cíclica totalmente automática de 750 rodadas/minuto. O DSA-58 pode usar qualquer revista Fal de medição métrica.",由美国公司DSA（或DS Arms -David Selvaggio Arms）生产的SA -58 OSW（操作专业武器）是FAL的法定副本。它由与STG-58相同的Steyr-Daimler-Puch生产线设备制成。它可能带有不同的枪管长度，铝合金下接收器以及改进的充满玻璃尼龙家具。平民模型是半自动的，但是军事和执法客户可以采购具有750发/分钟的全自动循环速率的精选模型。 DSA-58可以使用任何度量测量FAL杂志。
STR_weapons_firearms_FAL_406,SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58 (406 mm),SA-58（406毫米）,SA-58（406 mm）,SA-58 (406 mm),SA-58（406毫米）
STR_weapons_firearms_FAL_533,SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58 (533 mm),SA-58（533毫米）,SA-58（533 mm）,SA-58 (533 mm),SA-58（533毫米）
STR_weapons_firearms_hk416,HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416a5 (264 mm),HK 416A5 (264 mm),HK 416A5 (264 mm),HK 416A5（264毫米）,HK 416A5（264 mm）,HK 416A5 (264 mm),HK 416A5（264毫米）
STR_weapons_firearms_hk416_dsc,"The HK416 A5 is a further development of the HK416 assault rifle in 5.56x45mm NATO caliber. The most striking changes compared to its previous versions as well as to market available AR platforms include an improved and tool-less gas regulator for suppressor use, a redesigned, user-friendly lower receiver, which allows complete ambidextrous operation of the weapon and ensures optimised magazine compatibility. Additionally, numerous technical improvements to maximize the safety of the operator, weapon reliability, ammunition compatibility, and durability under real operating conditions.","The HK416 A5 is a further development of the HK416 assault rifle in 5.56x45mm NATO caliber. The most striking changes compared to its previous versions as well as to market available AR platforms include an improved and tool-less gas regulator for suppressor use, a redesigned, user-friendly lower receiver, which allows complete ambidextrous operation of the weapon and ensures optimised magazine compatibility. Additionally, numerous technical improvements to maximize the safety of the operator, weapon reliability, ammunition compatibility, and durability under real operating conditions.","HK416 A5 je dalším vývojem útočné pušky HK416 v kalibru NATO 5,56x45 mm. Mezi nejvýraznější změny ve srovnání s předchozími verzemi a také s dostupnými platformami AR na trhu patří vylepšený a bez nástrojů pro supresor bez nástrojů, přepracovaný, uživatelsky přívětivý dolní přijímač, který umožňuje úplnou oboustrannou provoz zbraně a zajišťuje optimalizovaný optimalizovaný optimalizovaný Kompatibilita časopisu. Kromě toho četná technická vylepšení maximalizuje bezpečnost operátora, spolehlivost zbraní, kompatibilitu munice a trvanlivost za skutečných provozních podmínek.","Der HK416 A5 ist eine weitere Entwicklung des HK416 -Sturmgewehrs im 5,56 x 45 mm NATO -Kaliber. Zu den auffälligsten Änderungen im Vergleich zu den früheren Versionen sowie zu den verfügbaren AR-Plattformen gehören ein verbesserter und Werkzeug ohne Gasregler für den Suppressor-Gebrauch, ein neu gestalteter, benutzerfreundlicher niedrigerer Empfänger, der einen vollständigen beidhebenden Betrieb der Waffe ermöglicht und optimiert ist und optimiert ist und optimiert ist Kompatibilität der Zeitschrift. Darüber hinaus zahlreiche technische Verbesserungen zur Maximierung der Sicherheit des Betreibers, der Waffenzuverlässigkeit, der Munitionskompatibilität und der Haltbarkeit unter realen Betriebsbedingungen.","HK416 A5, это дальнейшая ступень развития автомата HK416 в калибре 5.56 x 45 mm NATO. Основными изменениями в сравнении с предыдущими поколениями являются - улучшенный газовый регулятор, более не требущий дополнительного инструмента, обновленная ствольная коробка с двусторонними элементами управления, улучшенная совместимость с магазинами разных производителей и множество других изменений направленных на улучшение эргономики и надежности оружия.","HK416 A5 jest kolejnym rozwojem karabinu szturmowego HK416 w kalibrze NATO 5,56x45 mm. Najbardziej uderzające zmiany w porównaniu z poprzednimi wersjami, a także na rynku dostępne platformy AR obejmują ulepszony i bez narzędzi regulatora gazu do użytku supresorowego, przeprojektowany, przyjazny dla użytkownika niższy odbiornik, który umożliwia pełne obojętne działanie broni i upewnia się, że optymalizowano Kompatybilność magazynu. Ponadto liczne ulepszenia techniczne w celu maksymalizacji bezpieczeństwa operatora, niezawodności broni, kompatybilności amunicji i trwałości w rzeczywistych warunkach pracy.","A HK416 A5 a HK416 támadó puska továbbfejlesztése 5,56x45 mm -es NATO kaliberben. A legszembetűnőbb változások a korábbi verzióihoz képest, valamint a rendelkezésre álló AR platformokhoz képest egy továbbfejlesztett és szerszám nélküli gázszabályozó, a szuppresszor használatához, az átalakított, felhasználóbarát alacsonyabb vevőkészülék, amely lehetővé teszi a fegyver teljes ambidextrous működését, és biztosítja az optimalizált optimalizálását magazin kompatibilitása. Ezenkívül számos műszaki fejlesztés az üzemeltető biztonságának, a fegyverek megbízhatóságának, a lőszerek kompatibilitásának és a tartósságnak a valós működési körülmények között történő maximalizálása érdekében.","L'HK416 A5 è un ulteriore sviluppo del fucile d'assalto HK416 in calibro NATO da 5,56x45 mm. Le modifiche più sorprendenti rispetto alle sue versioni precedenti e alle piattaforme AR disponibili del mercato includono un regolatore di gas migliorato e senza utensili per l'uso del soppressore, un ricevitore inferiore riprogettato e intuitivo, che consente un funzionamento ambidestro completo dell'arma e garantisce ottimizzato Compatibilità della rivista. Inoltre, numerosi miglioramenti tecnici per massimizzare la sicurezza dell'operatore, l'affidabilità delle armi, la compatibilità delle munizioni e la durata in condizioni operative reali.","El HK416 A5 es un desarrollo adicional del rifle de asalto HK416 en el calibre de la OTAN de 5.56x45 mm. Los cambios más llamativos en comparación con sus versiones anteriores, así como con el mercado de las plataformas AR disponibles, incluyen un regulador de gas mejorado y sin herramientas para el uso de supresores, un receptor inferior fácil de usar y fácil de usar, que permite una operación ambidiestra completa del arma y garantiza optimizado Compatibilidad de la revista. Además, numerosas mejoras técnicas para maximizar la seguridad del operador, la confiabilidad del arma, la compatibilidad de las municiones y la durabilidad en condiciones de funcionamiento reales.","Le HK416 A5 est un développement supplémentaire du fusil d'assaut HK416 dans un calibre OTAN de 5,56x45 mm. Les changements les plus frappants par rapport à ses versions précédentes ainsi qu'aux plates-formes AR disponibles sur le marché comprennent un régulateur de gaz amélioré et sans outil pour une utilisation du suppresseur, un récepteur inférieur redessiné et convivial, qui permet un fonctionnement ambidextre complet de l'arme et assure optimisé Compatibilité du magazine. De plus, de nombreuses améliorations techniques pour maximiser la sécurité de l'opérateur, la fiabilité des armes, la compatibilité des munitions et la durabilité dans des conditions de fonctionnement réelles.",HK416 A5是5.56x45mm北约口径的HK416突击步枪的进一步发展。与以前的版本相比，最引人注目的变化以及可用的AR平台包括改进的无工具性气体调节器，用于抑制器使用，重新设计的，用户友好的较低接收器，该接收器允许武器的完整安慰性操作并确保优化优化杂志兼容性。此外，在实际操作条件下，许多技术改进，以最大程度地提高操作员的安全性，武器可靠性，弹药兼容性和耐用性。,HK416 A5は、5.56x45mm NATOキャリバーのHK416アサルトライフルのさらなる開発です。以前のバージョンと比較した最も印象的な変更と、利用可能なARプラットフォームの市場には、サプレッサー使用のための改善されたツールレスガスレギュレーター、再設計されたユーザーフレンドリーな低レシーバーが含まれます。雑誌の互換性。さらに、オペレーターの安全性、武器の信頼性、弾薬互換性、および実際の動作条件下での耐久性を最大化するための多くの技術的改善。,"O HK416 A5 é um desenvolvimento adicional do rifle de assalto HK416 no calibre da OTAN de 5,56x45mm. As mudanças mais impressionantes em comparação com suas versões anteriores, bem como nas plataformas de AR disponíveis no mercado, incluem um regulador de gás aprimorado e sem ferramentas para uso do supressor, um receptor mais baixo reprojetado e amigável, que permite uma operação ambidestro completa da arma e garante otimizado otimizado Compatibilidade da revista. Além disso, numerosas melhorias técnicas para maximizar a segurança do operador, confiabilidade das armas, compatibilidade de munição e durabilidade em condições operacionais reais.",HK416 A5是5.56x45mm北约口径的HK416突击步枪的进一步发展。与以前的版本相比，最引人注目的变化以及可用的AR平台包括改进的无工具性气体调节器，用于抑制器使用，重新设计的，用户友好的较低接收器，该接收器允许武器的完整安慰性操作并确保优化优化杂志兼容性。此外，在实际操作条件下，许多技术改进，以最大程度地提高操作员的安全性，武器可靠性，弹药兼容性和耐用性。
